scene_number,start_time,end_time,duration,prompt,prompt_ko,subtitle,characters,scene_tag,media_type
1,0,6.481,6.481,"Close-up of an aged brass pocket watch being opened by elderly feminine hands, revealing a yellowed folded letter inside. Warm autumn light, 1994 color palette, cinematic shallow depth of field.",1994년 가을 죽은 남자의 회중시계에서 편지를 발견하는 장면,"In the autumn of 1994, a woman opened a dead man's pocket watch and found a letter inside.",Narrator,prologue,image
2,6.481,21.086,14.605,"Extreme close-up of an old handwritten letter with elegant penmanship on yellowed paper, candlelight casting warm glow. The bottom lines are smudged and unreadable. Ink faded to tea color, WWII era stationery.",50년 전 D-Day 전야에 쓴 편지의 클로즈업,"It had been written fifty years earlier, on the night before D-Day, by a young soldier to the woman he loved. The words were beautiful. The penmanship was elegant. And the last two lines were smudged beyond reading.",Narrator,prologue,image
3,21.086,30.571,9.485,"A quiet suburban street in rural Pennsylvania, 1950s-1990s feel. A modest wooden house with a carpenter's workshop. A solitary older man in work clothes walks along a tree-lined road. Muted autumnal tones, melancholic atmosphere.",전쟁에서 살아 돌아온 병사가 다른 여자와 결혼하고 조용한 삶을 사는 모습,"The soldier survived the war. He came home. He married someone else. He lived a long, quiet life. He never sent the letter.",Narrator,prologue,image
4,30.571,47.06,14.267,"Dramatic close-up of the pocket watch lying open on a wooden table, the folded letter visible inside. A faded photograph of a young woman in a nurse's uniform sits nearby. Dust particles float in a beam of light. Mystery and longing atmosphere.",왜 50년간 연애편지를 보내지 않았는지에 대한 의문 제기,"The question is — why? Why would a man carry a love letter for fifty years and never mail it? What was written in those smudged lines that he wanted no one to see? And the woman it was meant for — Eleanor Parish — what happened to her?",Narrator,prologue,image
5,47.06,55.19,8.131,"Title card sequence: elegant typography over a backdrop of two overlapping letters on aged paper, a pocket watch between them. Warm golden light, cinematic grain. Title: Words I Never Said.",두 편지와 두 삶의 이야기 소개와 타이틀,"This is the story of two letters, two lives, and a love that waited half a century to be heard. This is ""Words I Never Said.""",Narrator,prologue,image
6,55.19,63.708,8.519,"Wide shot of a quiet rural Pennsylvania cemetery on a gray October morning, 1994. Bare trees, fallen leaves, overcast sky. A young woman in a dark coat (Sophie, 28) stands alone before a fresh grave.",1994년 10월 회색빛 아침 할아버지의 묘지에 서 있는 소피,"On a gray October morning in 1994, Sophie Bennett stood at her grandfather's grave and realized she had never really known him.",Sophie,cemetery_pennsylvania,image
7,63.708,74.447,10.739,"Close-up of a weathered gravestone reading Thomas Bennett. Intercut with flashes of old hands planing wood, a quiet man at a workbench, a closed wooden chest. Warm sepia undertones.",토마스 베넷 - 80세의 목수이자 과묵한 남자,"Thomas Bennett. Eighty years old. A carpenter. A quiet man who built things with his hands and kept everything else locked inside his chest.",Narrator,cemetery_pennsylvania,image
8,74.447,82.7,8.253,"Cemetery gathering: sparse mourners under a gray sky. A middle-aged man (Richard) stands stiffly in a dark suit. A handful of elderly neighbors with umbrellas among autumn gravestones. Wide establishing shot.",장례식 참석자들 - 소수의 이웃들과 경직된 아버지 리처드,"The mourners were few. A handful of neighbors. Sophie's father, Richard, standing rigid as a fence post.",Sophie;Richard,cemetery_pennsylvania,image
9,82.7,89.941,7.241,"Sophie standing apart at the cemetery, looking lost and conflicted in her dark coat. Fallen leaves at her feet, distant church steeple. She gazes at the fresh grave with hollow uncertainty.",28세의 소피가 왜 이렇게 공허한지 의아해하는 장면,"And Sophie — twenty-eight, just back from New York, wondering why she felt so hollow over a man she'd visited only at Christmas.",Sophie,cemetery_pennsylvania,image
10,89.941,103.243,13.302,"Medium shot of Richard speaking to Sophie at the cemetery gate. Adjacent grave of Margaret Bennett (d. 1988) visible. Six years of solitude implied by the quiet empty house in the background. Autumn wind blows leaves.",리처드가 할머니 옆에 묻어달라는 유언을 전하는 장면,"""He didn't want a fuss. Said just put him in the ground next to your grandmother."" Margaret Bennett had been buried here since 1988. Six years Tom had lived alone in that house. Six years of silence.",Richard;Sophie,cemetery_pennsylvania,image
11,103.243,116.91,13.667,"Close-up of a brass key being placed in Sophie's open palm. Then wider shot of her looking toward an old wooden house surrounded by autumn trees. A carpenter's workshop attached. Setting sun catches the windows.",리처드가 소피에게 할아버지 집 정리를 부탁하며 열쇠를 건네는 장면,"After the service, Richard handed Sophie a key. ""Someone has to sort through his things. I can't — I can't do it."" Sophie took the key. She didn't know it yet, but she was about to open far more than a house.",Sophie;Richard,house_pennsylvania,image
12,116.91,126.5,9.59,"Dusty attic filled with old carpentry tools, faded blueprints, wooden boxes. Beams of light filter through a small window illuminating dust particles. Sophie kneels amid boxes, searching. Sawdust smell almost visible.",먼지 쌓인 다락방에서 오래된 도구 상자들을 뒤지는 소피,"Tom's attic smelled of sawdust and decades. Sophie moved through boxes of old tools, faded blueprints, a lifetime of carpentry.",Sophie,attic,image
13,126.5,140.611,14.111,"Sophie discovers a cigar box tucked behind Army blankets. Inside, a beautiful brass pocket watch worn smooth by decades of handling. She lifts it carefully into the attic light. Golden warm glow on the brass surface.",시가 상자 안의 아름다운 놋쇠 회중시계를 발견하는 소피,"And then, in a cigar box tucked behind a stack of Army blankets — a pocket watch. It was beautiful. Brass, worn smooth by years of handling. The kind of watch a man carries every single day.",Sophie,attic,image
14,140.611,160.026,14.111,"Sophie turns the watch over revealing engraved initials T.B. & E.P. on the back. Her puzzled expression — grandmother was Margaret Hayes (M.H.), not E.P. Close-up of the mysterious initials catching the light.",회중시계 뒷면의 T.B. & E.P. 이니셜에 의아해하는 소피,"Sophie turned it over. On the back, two sets of initials: T.B. & E.P. T.B. — Thomas Bennett. That made sense. But E.P.? Sophie's grandmother was Margaret Hayes before she married. M.H. Not E.P.",Sophie,attic,image
15,160.026,170.504,10.478,"Sophie pressing the watch clasp — it springs open revealing a tightly folded yellowed letter nestled inside the mechanism. Dramatic close-up, warm candlelike lighting, sense of discovery and awe.",시계를 열자 메커니즘 안에 접힌 편지가 나오는 극적인 순간,"Sophie pressed the clasp. The watch opened. And inside, folded so many times it had become part of the mechanism, was a single sheet of paper.",Sophie,attic,image
16,170.504,177.115,6.612,"Extreme close-up of the aged letter — yellow paper, ink faded to the color of old tea. The paper is fragile, almost translucent with age. Attic dust motes floating around it.",오래된 편지의 클로즈업 - 차 색으로 바랜 잉크와 누렇게 변한 종이,"A letter. Yellow with age. Written in ink that had faded to the color of old tea.",Sophie,attic,image
17,177.115,191.799,14.684,"Close-up of Sophie's trembling hands carefully unfolding the aged letter. Her face shows a mixture of reverence and unease. A shaft of light illuminates the paper. She senses she is holding a secret never meant to be found.",떨리는 손으로 50년간 숨겨진 편지를 펼치는 소피,"Sophie's hands trembled as she unfolded it. She didn't know why. But something about this letter — hidden for fifty years inside a dead man's watch — told her she was holding a secret that was never meant to be found.",Sophie,attic,image
18,191.799,206.981,15.182,"Sophie sitting at a sturdy hand-built kitchen table in an old farmhouse kitchen. A clock ticks on the wall. The letter is spread before her. Late afternoon light streams through lace curtains. Intimate atmosphere.",할아버지가 직접 만든 부엌 테이블에서 편지를 읽기 시작하는 소피,"Sophie sat at her grandfather's kitchen table — the same table he'd built with his own hands forty years ago — and began to read. The handwriting was elegant. Almost too elegant. The kind of penmanship they don't teach anymore.",Sophie,kitchen_tom_house,image
19,206.981,214.976,7.995,"A WWII military tent interior at night, candlelight flickering. A young soldier's silhouette sits at a makeshift desk writing. Rain drips through canvas. Other soldiers sleep in cots around him. 1944 wartime atmosphere.",1944년 D-Day 전야 비가 새는 텐트에서 촛불 아래 편지를 쓰는 젊은 병사,"""My dearest Eleanor. I am writing this by candlelight in a tent that leaks when it rains, surrounded by men who snore like freight trains.",Narrator,military_tent_1944,image
20,214.976,222.971,7.995,"The young soldier pauses his writing, looks toward the tent opening. Beyond, the faint outline of the English Channel at night. Ships gathering in the darkness. Fear and love mingling on his young face.",내일 해협을 건너야 하는 두려움과 사랑이 교차하는 병사의 얼굴,"Tomorrow we cross the Channel. I don't know what waits for us on the other side.""",Narrator,military_tent_1944,image
21,222.971,234.729,11.758,"Romantic flashback: a young couple walking along white chalk cliffs on the English coastline at sunset, 1944. The soldier in uniform, the woman in a nurse's outfit. Stars appearing in the twilight sky. Dreamy nostalgic palette.",영국 해안 절벽을 따라 걷고 별빛 아래 약속을 나누는 젊은 연인의 회상,"The letter went on. It spoke of a walk along the English coastline. Of a song she hummed that he couldn't get out of his head. Of a promise made under a sky full of stars.",Narrator,english_cliffs_1944,image
22,234.729,244.521,9.792,"Extreme close-up of the bottom of the letter where ink has bled and smeared, perhaps from tears or water. Sophie's fingers trace the illegible lines. Some fragments of words barely visible.",편지의 마지막 몇 줄이 번지고 얼룩져 읽을 수 없는 부분의 클로즈업,"But the last few lines — the bottom of the page — were ruined. The ink had bled and smeared, as if water had been spilled. Or tears. Sophie could only make out fragments.",Sophie,kitchen_tom_house,image
23,244.521,252.312,7.791,"Sophie's face in lamplight, staring at the damaged portion of the letter. A word visible here, a half-sentence there, the rest destroyed. Frustration and mystery on her face.",단편적 단어만 보이는 훼손된 편지를 응시하는 소피,"A word here. A half-sentence there. And nothing more.",Sophie,kitchen_tom_house,image
24,252.312,264.906,12.594,"Sophie staring intensely at the smudged passage under lamplight. Her reflection visible in the dark kitchen window at night. The weight of the mystery on her face. Hours seem to pass.",번진 부분을 오래 응시하며 할아버지가 쓴 가장 중요한 말이 사라졌음을 깨닫는 소피,"She stared at that ruined passage for a long time. Whatever her grandfather had written there, in the most important lines of the most important letter of his life — it was gone.",Sophie,kitchen_tom_house,image
25,264.906,274.765,9.859,"Sophie reaching for a wall-mounted telephone. Split screen: Sophie in the kitchen and Richard on the other end. His face goes pale at the mention of Eleanor.",소피가 아버지에게 전화하여 엘리너 패리시에 대해 묻는 장면,"Sophie called her father. ""Dad, who is Eleanor Parish?"" ""Where did you hear that name?"" ""I found a letter. In Grandpa's watch. It's addressed to someone named Eleanor —""",Sophie;Richard,phone_call,image
26,274.765,295.929,14.267,"Richard's face tensed with fear and anger on the phone. He commands Sophie to put the letter back. After he hangs up abruptly, Sophie stands holding the phone, certainty growing in her eyes.",리처드가 격하게 반응하며 편지를 도로 넣으라고 하고 전화를 끊는 장면,"""Sophie. Put it back. Put it back where you found it and don't mention that name again."" He hung up. Sophie knew — this letter was the reason her grandfather had been quiet all his life.",Sophie;Richard,phone_call,image
27,295.929,312.157,14.267,"Sophie climbing back up to the dusty attic with renewed determination. She digs deeper — behind Army blankets, beneath the cigar box, inside an old ammunition case. Her hands find a photograph.",아버지의 반응이 역효과를 내어 다시 다락방에서 더 깊이 뒤지는 소피,"Her father's reaction had the opposite of its intended effect. Sophie went back to the attic. This time she looked deeper. Behind the Army blankets, beneath the cigar box, inside an old ammunition case — she found a photograph.",Sophie,attic,image
28,312.157,329.165,13.505,"Close-up of a black-and-white photograph, June 1944: a young man in uniform standing beside a woman in a nurse's outfit. They smile at each other — not at the camera — with radiant light in their eyes that photos aren't supposed to capture.",1944년 6월의 흑백 사진 - 서로를 바라보며 빛나는 눈으로 웃는 젊은 병사와 간호사,"Black and white. June 1944. A young man in uniform standing beside a woman in a nurse's outfit. They were smiling at each other — not at the camera, at each other — with the kind of light in their eyes that photographs aren't supposed to capture.",Sophie,attic,image
29,329.165,351.584,14.787,"Sophie turns the photo over to read pencil writing: 'Eleanor. June 1944. England.' She recognizes young Tom — barely twenty-two, strong jaw, shy eyes, carpenter's hands. A version of him she never knew, radiantly in love.",사진 뒷면의 글귀를 읽고 젊고 사랑에 빠진 할아버지를 알아보는 소피,"On the back, in pencil: ""Eleanor. June 1944. England."" Sophie looked at the young soldier. Barely twenty-two. Strong jaw, shy eyes, hands that already looked like a carpenter's. Her grandfather — a version that was radiantly, recklessly in love.",Sophie,attic,image
30,351.584,365.251,13.667,"Sophie places the photo next to the letter on the attic floor — two puzzle pieces of a family secret. Night: she drives through rural Pennsylvania roads toward her father's house. Richard sitting in a dark room with untouched whiskey.",사진과 편지를 나란히 놓은 소피가 밤에 아버지의 집으로 향하는 장면,"She placed the photo next to the letter. Two pieces of a puzzle that her family had buried for half a century. That night, Sophie drove to her father's house. Richard was sitting in the dark, a glass of whiskey untouched in front of him.",Sophie;Richard,father_house_night,image
31,365.251,376.887,11.636,"Dark living room. Richard sits alone with untouched whiskey under a single lamp. Sophie enters and confronts him. Close-ups alternating between their faces. Emotional tension, chiaroscuro lighting.",소피가 아버지에게 할아버지의 마지막 말을 추궁하는 장면,"""Dad. I need to know."" ""You don't."" ""His last words, Dad. What were Grandpa's last words?"" ""He said... 'Tell her I'm sorry.'""",Sophie;Richard,father_house_night,image
32,376.887,392.177,15.29,"Close-up of Richard's face almost breaking with emotion. His voice cracks as he reveals what he always knew. Sophie pressing — 'Tell who?' Richard's eyes distant, fighting tears he won't let fall.",리처드가 처음으로 감정이 흔들리며 엘리너에 대해 이야기하기 시작하는 장면,"""Tell who?"" ""He didn't say. He never said. But I always knew."" Richard's voice cracked. In fifty years, Sophie had never seen her father cry. Tonight, he didn't cry either. But he came close.",Sophie;Richard,father_house_night,image
33,392.177,402.654,10.478,"Richard speaking in the dark room, his face half-lit. Brief flashback insert: a young British nurse in a 1944 field hospital. Richard reveals Eleanor's identity — a British nurse Tom met before D-Day.",리처드가 엘리너 패리시의 정체를 밝히는 장면,"""Her name was Eleanor Parish. She was a nurse. British. He met her in England before D-Day. And that's all I know. That's all he ever told me.""",Richard,father_house_night,image
34,402.654,413.422,10.768,"Sophie clutching the pocket watch in her pocket. The ticking is almost visible — steady, patient, waiting. She asks the crucial question with desperate hope in her eyes.",소피가 시계의 박동을 느끼며 엘리너가 아직 살아있는지 묻는 장면,"Sophie held the watch in her pocket. The ticking felt like a heartbeat — steady, patient, waiting. ""Is she still alive?"" Sophie asked.",Sophie,father_house_night,image
35,413.422,424.971,11.549,"Richard says nothing — his silence is the answer. Sophie makes her decision, visible in her eyes. Wide shot of her standing by the window, determined. Moonlight on her face. The ticking watch glowing faintly.",리처드의 침묵 속에서 소피가 엘리너를 찾기로 결심하는 장면,"Richard said nothing. And in that silence, Sophie made her decision. She was going to find Eleanor Parish. She was going to deliver the words her grandfather never said.",Sophie;Richard,father_house_night,image
36,424.971,437.487,12.515,"Sophie at a cluttered desk surrounded by papers, making phone calls on a 1990s telephone, searching on an early computer. Newspaper clippings and military records spread around her. The determined journalist at work.",기자로서의 능력을 발휘해 엘리너를 찾기 위해 조사하는 소피,"Sophie was a journalist. Finding people was what she did. But finding a British nurse from 1944 with nothing but a first name and a photograph — that was something else entirely.",Sophie,research_montage,image
37,437.487,456.324,14.0,"Close-up of military service records spread on a desk: PFC Thomas J. Bennett, 29th Infantry Division. A map of Dorset, England with a field hospital marked. Document stamps and official Army letterhead. 1944 dates circled.",국립문서보관소의 군 기록 - 토마스 베넷의 복무 이력과 도싯 야전병원 배치,"She started with the National Archives. Tom's Army service record: Private First Class Thomas J. Bennett, 29th Infantry Division. Assigned to a field hospital in Dorset, England, from March to May 1944. Transferred to combat operations, June 5th.",Sophie,national_archives,image
38,456.324,468.293,11.969,"Calendar showing June 5 1944 circled in red — the night before D-Day. Documents about the field hospital employing both American and British medical staff. A trail leading to England and the British Red Cross.",6월 5일 - D-Day 전야. 야전병원의 영미 합동 의료진 기록,"June 5th. The night before D-Day. The field hospital had employed both American and British medical staff. But individual nurse records were held in England — by the British Red Cross.",Narrator,national_archives,image
39,468.293,490.894,14.0,"Montage of frustrating phone calls: Sophie on the phone looking increasingly defeated. VA rejection letter, Army Nurse Corps dead end. She tries various leads — all fail. Papers crumpled, phone slammed down.",재향군인청과 육군간호단에서 막다른 골목에 이르는 소피,"Sophie tried the Veterans Administration first. Dead end. Then the Army Nurse Corps Association — no record of any Eleanor Parish. ""She was British,"" the clerk said. ""We wouldn't have her file.""",Sophie,research_montage,image
40,490.894,500.879,9.985,"Sophie surrounded by dead-end paperwork, but then her eyes catch a British Red Cross pamphlet. Hope reignites. She books a plane ticket to London. The ticket in her hand — a bridge across the Atlantic.",마지막 실마리인 영국 적십자사를 위해 런던행을 결심하는 소피,"Two weeks of phone calls. Three dead-end leads. One wrong Eleanor Parish in Ohio. Sophie was running out of threads. But she had one left: the British Red Cross. That meant going to England. Sophie booked a flight to London.",Sophie,research_montage,image
41,500.879,519.533,14.0,"Sophie visiting an elderly man (George Whitfield, 87) in a modest home. George sits in a worn armchair, sharp eyes in an aged body. Military memorabilia on shelves. Warm afternoon light through curtains.",소피가 할아버지의 전우 조지 휘트필드(87세)를 방문하는 장면,"Before leaving for England, Sophie tracked down one more lead. George Whitfield. Eighty-seven years old. Tom Bennett's closest friend in the 29th Division. They'd been stationed together at the Dorset field hospital.",Sophie;George,george_house,image
42,519.533,537.435,14.0,"George's eyes light up with memories, his aged face shifting between joy and sorrow. He leans forward in his chair, the name Tommy Bennett bringing fifty years of memories flooding back.",조지가 토미 베넷의 이름을 듣고 기억이 되살아나는 장면,"George was sharp. His body had surrendered to time, but his mind had not. ""Tommy Bennett. My God. Haven't heard that name in... well, I suppose it's been since the reunion in '71."" ""Mr. Whitfield, did you know a nurse named Eleanor Parish?""",George;Sophie,george_house,image
43,537.435,557.087,15.0,"George speaking with deep emotion. Brief flashback: two young figures (Tom and Eleanor) walking along coastal cliffs at sunset while other soldiers watch enviously. The only beautiful thing in an ugly war.",조지가 톰과 엘리너의 사랑이 전쟁 속 유일한 아름다움이었다고 회상하는 장면,"""Know her? Sweetheart, everyone knew about Eleanor. Those two — Tommy and Eleanor — they were the only beautiful thing in that whole ugly war. You'd see them walking along the cliffs after their shifts, and you'd forget for a moment that half of us wouldn't make it home."" ""What happened to them?"" ""D-Day happened.""",George;Sophie,george_house,image
44,557.087,580.812,14.0,"George goes quiet, then reveals a crucial detail. Flashback: young George at a desk in a military tent, writing letters in elegant copperplate by lamplight. Young Tom watches as George writes for him.",조지가 톰의 편지를 대필해줬다는 중요한 사실을 밝히는 장면,"George went quiet for a moment. Then he said something that lodged in Sophie's mind like a splinter. ""Your grandfather was a proud man. And a stubborn one. He couldn't write worth a damn — farm boy. I used to write his letters home for him.""",George,george_house,image
45,580.812,596.491,15.0,"George telling the D-Day eve story with tears in his old eyes. Flashback: Tom on one knee before Eleanor on the Dorset cliffs at twilight, offering a pocket watch. Stars above the sea. The last peaceful moment before war.",조지가 D-Day 전야 프러포즈 이야기를 들려주는 장면,"Sophie filed that detail away. She didn't know yet how important it would be. ""The night before D-Day, Tom asked Eleanor to marry him. She said yes. And the next morning, the boats left for Normandy. That was the last time he saw her.""",George,george_house,image
46,596.491,620.268,14.0,"Transition from George's narration to vivid 1944 flashback. Wide cinematic shot of the Dorset coastline at dusk. Tom and Eleanor silhouetted on the cliffs. Ships gathering in the harbor below like a steel horizon. Wind in Eleanor's hair.",1944년 6월 4일 도싯 해안 절벽 위의 톰과 엘리너 - 항구의 함선들,"George told Sophie what happened that night. And as he spoke, the past came alive. June 4th, 1944. The coast of Dorset. Tom and Eleanor stood on the cliffs above the sea, watching ships gather in the harbor below like a steel horizon.",Tom;Eleanor_young,dorset_cliffs_1944,image
47,620.268,633.964,13.696,"Close two-shot of young Tom and Eleanor on the cliffs at sunset. He speaks with earnest passion about building a house. She teases him warmly. Ocean wind, golden light, the last peaceful evening.",톰이 넓은 부엌이 있는 집을 지어주겠다며 프러포즈하는 장면,"""When this is over — when I come back — I want to build you a house. A real house. With a porch and a kitchen big enough to dance in."" ""You're proposing to me with a kitchen?"" ""I'm proposing to you with everything I've got.""",Tom;Eleanor_young,dorset_cliffs_1944,image
48,633.964,645.254,11.29,"Eleanor pressing the brass pocket watch back into Tom's hands with a tender smile. Close-up of their hands around the watch — her promise for him to bring it back. Starlight reflecting off the brass.",엘리너가 시계를 돌려주며 돌아오라는 약속을 받는 장면,"She said yes. He gave her the pocket watch — the only valuable thing he owned. She pressed it back into his hands. ""Keep it. Bring it back to me. That's your promise.""",Tom;Eleanor_young,dorset_cliffs_1944,image
49,645.254,660.567,15.313,"Dawn breaking over the English Channel. Landing craft heading toward Normandy beaches. Chaos, explosions, smoke. Tom hit by shrapnel on Omaha Beach within the first hour. Medics dragging him to a ship. He wakes three days later in a hospital bed in Southampton.",D-Day 오마하 해변의 전투와 부상당하는 톰,"The next morning, Tom's unit shipped out to Omaha Beach. He was hit by shrapnel within the first hour. Medics dragged him to a ship. He woke up three days later in a hospital in Southampton. And the first thing he asked was: ""Where is Eleanor?""",Tom,normandy_1944,image
50,660.567,686.594,14.0,"Hospital ward in Southampton, 1944. Tom lies bandaged in bed, grabs a nurse's arm. She checks records, returns with a grave face. Close-up of Tom's eyes as hope drains away. Something inside him — the part that laughed — goes quiet forever.",병원에서 엘리너가 사상자 명단에 있다는 소식을 듣고 내면이 영원히 침묵하는 톰,"The nurse checked the records. She came back with a face that said everything. ""I'm sorry, Private. The field hospital in Dorset took a direct hit. E. Parish is on the casualty list."" Tom closed his eyes. And something inside him went quiet forever.",Tom;Nurse,hospital_1944,image
51,686.594,701.541,14.947,"1994: Sophie standing in a windswept coastal cemetery in Dorset, England. Rows of white crosses stretching toward the sea. She has found the bombing records — June 7, 1944, a Luftwaffe strike, seventeen dead.",1994년 소피가 도싯 해안 묘지에서 폭격 기록을 확인하는 장면,"Sophie stood in a cemetery on the Dorset coast. She had found the bombing records. June 7, 1944 — a Luftwaffe strike on a field hospital. Seventeen dead. The casualty list included ""E. Parish.""",Sophie,dorset_cemetery,image
52,701.541,718.97,14.0,"Sophie walking through rows of white crosses. She finds a small weathered stone, kneels down, brushes away moss. The name revealed: Edith Parish 1921-1944. Her eyes widen in shock — EDITH, not ELEANOR.",소피가 묘비에서 '에디스 패리시'를 발견하는 충격적 반전,"Sophie walked through rows of white crosses until she found it. A small stone. Weathered. She knelt down, brushed away the moss, and read: Edith Parish. 1921–1944. She served with courage.",Sophie,dorset_cemetery,image
