scene_number,start_time,end_time,duration,prompt,prompt_ko,subtitle,characters,scene_tag,media_type
53,718.97,743.667,14.0,"Sophie's face illuminated with realization — wide eyes, hand over mouth. The same initial E. Parish but a different woman entirely. Her heart races as the truth dawns: Eleanor may have survived. Tom spent fifty years mourning a woman who might still be alive.",같은 이니셜의 다른 사람 - 엘리너가 살아있을 가능성에 희망을 갖는 소피,"Edith. Not Eleanor. The initial was the same — E. Parish — but a different woman entirely. Sophie's heart hammered. If this was Edith on the casualty list, then Eleanor might not have died at all. Tom had spent fifty years mourning a woman who might still be alive.",Sophie,dorset_cemetery,image
54,743.667,756.368,12.701,"British Red Cross archives interior — rows of filing cabinets, dusty folders. Sophie pulls Eleanor Parish's file. Documents confirm Eleanor survived, transferred to Oxford the day before the bombing. Sophie's hands shaking.",영국 적십자사에서 엘리너가 폭격 전날 옥스포드로 전근했다는 기록을 발견,"The British Red Cross archives confirmed it. Eleanor Parish had survived the Dorset bombing. She had been transferred to a hospital in Oxford the day before the strike. But here was the knife that cut both ways.",Sophie,red_cross_archives,image
55,756.368,771.391,15.023,"Close-up of a military document stamped July 1944: 'PFC Thomas J. Bennett, 29th Infantry Division, killed in action at Omaha Beach, June 6, 1944.' The word KIA circled. Eleanor's Red Cross file showing she was told Tom was dead.",엘리너의 기록에서 톰이 전사했다는 잘못된 통보를 발견하는 장면,"Eleanor's Red Cross file contained a note dated July 1944: ""Informed that PFC Thomas J. Bennett, 29th Infantry Division, was killed in action at Omaha Beach, June 6, 1944.""",Narrator,red_cross_archives,image
56,771.391,796.187,14.0,"Two documents side by side: the wrong casualty list (Edith for Eleanor) and the wrong KIA report (Tom survived). Visual representation of two clerical errors — two single letters that separated lovers for fifty years. The chaos of D-Day as backdrop.",두 행정 오류 - 에디스/엘리너 그리고 KIA/WIA - 50년을 갈라놓은 두 글자,"Killed in action. Except Tom hadn't died. He'd been wounded, evacuated, and survived. Two clerical errors. Two single letters. E for Edith instead of Eleanor. KIA instead of WIA. Two tiny mistakes in the chaos of the largest military operation in history.",Narrator,red_cross_archives,image
57,796.187,807.477,11.29,"Sophie weeping alone in the archive room, surrounded by paper and dust. The tragic irony overwhelming her — two people who loved each other spent fifty years believing the other was dead.",두 사람이 서로 죽은 줄 알고 50년을 보낸 비극에 우는 소피,"Because of those mistakes, two people who loved each other spent fifty years believing the other was dead. Sophie sat in that archive, surrounded by paper and dust, and wept.",Sophie,red_cross_archives,image
58,807.477,823.205,15.0,"Transition to 1945 Pennsylvania: a returned soldier (Tom) in civilian clothes at a small church wedding beside Margaret Hayes. She is kind-faced, steady. Tom is a good husband — present in every way except one. Bittersweet warmth.",1945년 톰이 마가렛과 결혼하는 장면 - 충실하지만 마음 한구석이 빈 남편,"Tom came home to Pennsylvania in 1945. He married Margaret Hayes in 1948. She was kind. She was steady. And Tom was a good husband — faithful, hard-working, present in every way except one.",Tom;Margaret,pennsylvania_1940s,image
59,823.205,838.699,15.0,"A carpenter's workshop, every June 6th: older Tom sits on a stool by the window, holding the closed pocket watch in both hands. Not opening it. Just feeling its weight. The ticking. Late afternoon light streaming through dusty windows.",매년 6월 6일 작업실 창가에서 시계를 쥐고 앉아있는 톰,"Every June 6th, Tom closed his workshop early. He would sit on the old stool by the window, take the pocket watch from his vest pocket, and hold it in both hands. Not opening it. Just holding it. Feeling the weight of it. The ticking.",Tom,workshop_pennsylvania,image
60,838.699,853.852,15.0,"Margaret appears at the workshop doorway with a cup of coffee. She watches Tom holding the watch, understanding written on her face. She sets the cup on the bench and leaves without a word. Decades of unspoken knowing.",마가렛이 커피를 가져오지만 말없이 두고 가는 - 물어보지 않은 사랑,"One year, Margaret came to the door with a cup of coffee. She stood there for a moment, watching him. Then she set the cup on the bench and left without a word. She never asked. Maybe she knew. Maybe she loved him enough not to.",Tom;Margaret,workshop_pennsylvania,image
61,853.852,880.033,14.0,"Three thousand miles away, England: Eleanor in a nurse's uniform walking home through quiet streets at night. Her small flat — keys on the table beside a photograph of young Tom in uniform. She has carried this photo from posting to posting for twenty years.",3천 마일 떨어진 영국에서 톰의 사진을 간직하며 살아온 엘리너,"Three thousand miles away, Eleanor Parish finished her night shift at a hospital in Surrey. She walked home through the quiet streets, let herself into a small flat, and set her keys beside a photograph. A young American soldier. She had carried this photograph from posting to posting for twenty years.",Eleanor,eleanor_flat_england,image
62,880.033,905.612,14.0,"Eleanor's colleagues asking why she never married. Her smile that closes the conversation — 'Married to the job.' But alone, she looks at Tom's photo. She already said yes to someone. That promise still stands. Two lives on two continents carrying the same ghost.",결혼하지 않은 이유를 물으면 웃음으로 넘기는 엘리너 - 이미 누군가에게 예스라고 했으므로,"Her colleagues sometimes asked why she never married. ""Married to the job,"" she would say. Only Eleanor knew the truth — she had already said yes to someone. And in her heart, that promise still stood. Two lives. Two continents. Both carrying a ghost that was still breathing.",Eleanor,eleanor_flat_england,image
63,905.612,916.983,11.371,"Sophie on a phone in a London hotel room, voice raw with emotion. Her face intense as she delivers the news to her father. On the other end, Richard's stunned silence then two devastating words.",소피가 런던 호텔에서 아버지에게 엘리너가 살아있다고 전화하는 장면,"Sophie called her father from the London hotel. Her voice was raw. ""Dad. Eleanor is alive. She survived the war. She's been alive this whole time."" ""I know."" ""What?""",Sophie;Richard,london_hotel,image
64,916.983,942.385,14.0,"Richard's voice on the phone revealing the devastating truth. Flashback: elderly Tom receiving a veterans' magazine, his face stricken as he reads about Eleanor alive in England. The impossible weight of knowing.",리처드가 톰이 10년 전에 엘리너가 살아있다는 것을 알았다고 밝히는 장면,"""He found out about ten years ago. A buddy from the war sent him an article from some British veterans' magazine. Eleanor Parish — alive, living in England."" ""And he didn't go to her?"" ""Your grandmother was still alive. He loved her too. He couldn't break her heart to mend his own.""",Richard;Sophie,phone_call,image
65,942.385,963.419,14.0,"Close-up of Richard's anguished face. Flashback: elderly Tom alone in his dark workshop, magazine in one hand, watch in the other. Ten years of carrying impossible knowledge. Then Sophie hanging up, looking at the watch — its ticking now urgent.",10년간 갈 수 없었던 톰의 고통. 소피가 전화를 끊고 시계를 바라보는 장면,"""He carried that knowledge for ten years. Knowing she was out there. Knowing he couldn't go. That's what finally made him quiet. Not the war. Not the grief. The knowing."" Sophie hung up. The ticking sounded different now. Not patient. Urgent.",Richard;Sophie,phone_call,image
66,963.419,987.065,14.0,"Sophie on a train heading west through the English countryside. Green rolling hills, stone villages, pastoral scenery scrolling past windows. She clutches the pocket watch and letter. Autumn splendor of the Cotswolds approaching.",톰은 갔지만 엘리너는 아직 여기 있다 - 코츠월즈로 향하는 기차의 소피,"Tom was gone. But Eleanor was still here. And the letter was still undelivered. The nursing register listed Eleanor in the Cotswolds. Sophie took a train west from London, watching England scroll past the window like a watercolor painting.",Sophie,train_england,image
67,987.065,1014.97,14.0,"Sophie on the train, mouthing rehearsed words, shaking her head. Then she stands in the aisle with her coat, nearly getting off. Fear and doubt on her face — what if Eleanor doesn't want to know? What if this reopens fifty-year-old wounds?",기차에서 할 말을 연습하다가 내릴까 망설이는 소피의 내적 갈등,"She rehearsed what she would say. Every version sounded wrong. How do you summarize fifty years of silence? Halfway through the journey, Sophie nearly got off the train. What if Eleanor doesn't want to know? What if this tears open a wound she spent fifty years closing?",Sophie,train_england,image
68,1014.97,1031.955,14.0,"Sophie remembering her grandfather's last words — 'Tell her I'm sorry.' His deathbed, whispering those words to the air. She sits back down in the train seat with resolve. She owes him this. She owes them both.",할아버지의 마지막 말 '미안하다고 전해줘'를 떠올리며 결심을 굳히는 소피,"She thought of her grandfather's last words. 'Tell her I'm sorry.' He had carried those words to his deathbed. He had trusted them to the air, hoping somehow they would find their way. Sophie sat back down. She owed him this. She owed them both.",Sophie,train_england,image
69,1031.955,1046.017,14.062,"A small stone cottage in the Cotswolds covered in ivy. A garden loved for decades. Sophie walks up the path, heart in her throat. She knocks on the door. It opens.",코츠월즈의 작은 돌집에 도착한 소피가 문을 두드리는 장면,"The cottage was small. Stone walls covered in ivy. A garden that had been loved for decades. Sophie walked up the path, her heart in her throat. She knocked. The door opened. And there she was.",Sophie;Eleanor,cotswolds_cottage,image
70,1046.017,1067.051,14.0,"Eleanor Parish at seventy: white hair pinned back, clear blue-grey eyes like the English Channel, small but steady. A woman who survived what should have broken her. Warm cottage interior behind her. Afternoon English light.",70세의 엘리너 패리시 - 흰머리에 맑은 눈 작지만 단단한 여성,"Eleanor Parish. Seventy years old. White hair pinned back. Eyes the color of the English Channel on a clear day. She was smaller than Sophie had imagined. More fragile. But there was a steadiness about her. ""Can I help you, dear?""",Eleanor;Sophie,cotswolds_cottage,image
71,1067.051,1091.695,14.0,"Sophie frozen in the doorway. Over Eleanor's shoulder on the sitting room wall — a photograph of young Tom in uniform. The SAME photograph from the attic. Fifty years on her wall. Every single day. Sophie's eyes fill with tears.",엘리너의 거실 벽에 50년간 걸려있던 톰의 사진을 발견하는 소피,"Sophie opened her mouth. Nothing came out. Because over Eleanor's shoulder, on the wall of the sitting room, Sophie could see a photograph. The same photograph she had found in the attic. Fifty years. On her wall. Every single day.",Sophie;Eleanor,cotswolds_cottage,image
72,1091.695,1100.269,8.574,"Sophie introducing herself with trembling voice. Eleanor's hand flies to her mouth, eyes filling with tears. The two women in the doorway, connected across generations. Eleanor recognizes Tom's eyes in Sophie's face.","소피가 자신을 소개하자 엘리너가 '당신은 그의 눈을 가졌군요'라며 감동하는 장면","""My name is Sophie Bennett. I'm — I'm Tom's granddaughter."" Eleanor's hand flew to her mouth. Her eyes filled. ""Oh my God. You have his eyes.""",Sophie;Eleanor,cotswolds_cottage,image
73,1100.269,1117.016,14.0,"Eleanor and Sophie sitting in the cozy cottage sitting room. Tea cups gone cold. Sophie telling the whole story — the funeral, the watch, the letter, the search. Eleanor listening with her whole body still. Warm afternoon light shifting.",차가 식도록 이야기를 나누는 소피와 엘리너,"They sat together. Tea went cold. Sophie told Eleanor everything — the funeral, the watch, the letter, the search. Eleanor listened the way only someone who has waited fifty years can listen — with her whole body still.",Sophie;Eleanor,cotswolds_sitting_room,image
74,1117.016,1134.262,14.0,"Sophie carefully placing the yellowed letter on the table. Eleanor's thin nurse's fingers reaching for it, unfolding with infinite gentleness. She reads, lips moving silently, tears tracking down her cheeks.",소피가 편지를 꺼내고 엘리너가 50년 만에 처음 읽는 장면,"Then Sophie pulled out the letter. Carefully. Reverently. She placed it on the table between them. Eleanor reached for it. Her fingers unfolded the paper with the gentleness of someone handling a living thing.",Sophie;Eleanor,cotswolds_sitting_room,image
75,1134.262,1145.947,11.685,"Eleanor reading the letter, tears streaming, then abruptly stopping. Her expression shifts from grief to confusion. She looks up at Sophie. Close-up of the elegant handwriting she recognizes is NOT Tom's.",엘리너가 편지를 읽다가 이것이 톰의 필적이 아님을 알아차리는 장면,"She read the first lines. Her lips moved silently. Tears tracked down her cheeks. And then — she stopped. ""This isn't Tom's handwriting."" ""What?""",Eleanor;Sophie,cotswolds_sitting_room,image
76,1145.947,1178.585,14.0,"Eleanor examining the letter closely, eyes closing as a memory surfaces. Flashback: 1944 field hospital supply room — neat copperplate labels on every crate and bottle. She recognizes the handwriting. George Whitfield's elegant script.",엘리너가 야전병원 보급실의 라벨을 기억하며 조지의 필적을 알아보는 장면,"Eleanor closed her eyes. A memory surfaced — the field hospital supply room, neat labels on every crate, always in the same elegant copperplate script. ""George. George Whitfield. He labeled every supply crate. I'd know that copperplate anywhere.""",Eleanor,cotswolds_sitting_room,image
77,1178.585,1212.082,14.0,"Eleanor revealing the truth with a bittersweet smile. Flashback: young Tom sitting across from Eleanor on the night before D-Day, nervously clutching paper covered in crossed-out words. His big carpenter's hands unable to form the words on paper.",엘리너가 D-Day 전야의 진실을 밝히는 장면 - 편지를 쓰려 했으나 실패한 톰,"Eleanor told Sophie the real truth. ""The night before D-Day, Tom came to me. He was shaking. Not because of the invasion — because of what he wanted to say. He had a piece of paper covered in crossed-out words. He'd been trying to write me a letter.""",Eleanor;Sophie,cotswolds_sitting_room,image
78,1212.082,1243.307,14.0,"Eleanor speaking through tears and smiles. Flashback: young Tom's rough hands struggling with a pen, his frustrated face. He tells Eleanor 'My hands know how to say things. My pen doesn't.' His vulnerability and love in his carpenter's eyes.",톰이 글을 못 쓰는 자신에 대해 고백하는 회상 장면,"Eleanor smiled through her tears. ""He was a carpenter's son from Pennsylvania. He could build anything with his hands. But words? They defeated him. He told me once, 'My hands know how to say things. My pen doesn't.'""",Eleanor,cotswolds_sitting_room,image
79,1243.307,1267.711,14.0,"Flashback: young Tom speaking passionately while George writes in beautiful copperplate by candlelight in the tent. Tom's heart flowing through George's elegant pen. Every word from Tom's mouth given shape on paper. Then back to present: Sophie looking at the letter with new understanding.",톰이 말하고 조지가 쓴 편지 - 조지의 손으로 전해진 톰의 마음,"""So he asked George — who had the most beautiful handwriting in the regiment — to write it for him. Tom spoke. George wrote. Every word came from Tom's mouth. George just gave them shape on paper."" Sophie looked at the letter again. George's hand, carrying Tom's heart.",Eleanor;Sophie,cotswolds_sitting_room,image
80,1267.711,1291.124,14.0,"Sophie asks about the smudged ending. Eleanor picks up a magnifying glass from her reading table. Her trembling hands hold it over the bottom of the letter. She discovers the last two lines are in DIFFERENT handwriting — rough and childlike. Tom's own hand.",소피가 번진 부분에 대해 묻자 엘리너가 돋보기로 확인하며 톰의 직접 쓴 글씨를 발견,"""But what about the end? The part that's smudged?"" Eleanor picked up a magnifying glass. Her hands trembling. ""This part — the last two lines — this IS Tom's handwriting. After George finished, Tom took the pen and added something himself.""",Sophie;Eleanor,cotswolds_sitting_room,image
81,1291.124,1304.583,13.459,"Extreme close-up of the smudged bottom of the letter under magnification. Through fifty-year-old blurred ink, rough childlike handwriting slowly becomes legible. Eleanor reads aloud, each word pulled from the blur. The most powerful moment of the story.",엘리너가 번진 마지막 줄을 해독하여 소리 내어 읽는 절정의 순간,"Eleanor read aloud. Slowly. Each word pulled from the blur of fifty-year-old ink like a body from deep water. ""I can't write pretty words. But I love you is all I know. — Tom""",Eleanor,cotswolds_sitting_room,image
82,1304.583,1320.86,14.0,"The letter lying on the table — George's elegant calligraphy above, Tom's rough scrawl at the bottom. Not someone else's eloquence. Just Tom. Raw, clumsy, honest. Saying the only thing that mattered in the only way he knew how. Eleanor and Sophie both weeping.",조지의 우아한 글씨 위에 톰의 거친 손글씨 - 가장 중요한 말을 가장 솔직하게,"That was it. That was what the ink had hidden for half a century. Not George's poetry. Not someone else's eloquence. Just Tom. Raw, clumsy, honest Tom. Saying the only thing that mattered in the only way he knew how.",Eleanor;Sophie,cotswolds_sitting_room,image
83,1320.86,1337.819,14.0,"Flashback: young Tom in the 1944 hospital bed, being told Eleanor is dead. He carefully folds the letter and tucks it into the pocket watch. The click of the watch closing. Then decades montage — the watch against his chest, every single day.",톰이 엘리너가 죽었다는 소식에 편지를 시계에 넣고 50년간 가슴에 품은 이야기,"He never sent it. Because when he woke up in that hospital, they told him Eleanor was dead. You don't mail a letter to a ghost. So he folded it into his watch. And he carried it against his chest for fifty years. Every single day.",Narrator,hospital_1944,image
84,1337.819,1356.815,14.0,"Sun moving across Eleanor's sitting room. Hours have passed. Two women sitting together, talked about everything — the war, the years after, the parallel lives. A bond formed across generations. Warm golden afternoon light.",오랜 시간 대화를 나눈 두 여자 - 전쟁과 그 후의 삶에 대해,"The sun had moved across Eleanor's sitting room. Hours had passed. They had talked about everything — the war, the years after, the parallel lives lived in parallel silence. Finally, Sophie asked the question that had been building inside her since she first knocked on that door.",Sophie;Eleanor,cotswolds_sitting_room,image
85,1356.815,1378.978,14.0,"Emotional exchange between Sophie and Eleanor. Eleanor's passionate response about rehearsing words for fifty years. Then Sophie gently breaking the news of Tom's death. Eleanor going very still, looking at Tom's photograph on the wall.",소피가 톰의 죽음을 알리자 '50년을 기다렸는데 3주 늦었다'는 엘리너,"""Would you have wanted to hear his voice?"" ""I've rehearsed what I would say to that man every night for fifty years."" ""He passed away three weeks ago."" Eleanor sat very still. She looked at the photograph. ""Fifty years I waited. And I was three weeks too late.""",Sophie;Eleanor,cotswolds_sitting_room,image
86,1378.978,1401.875,14.0,"Eleanor touching Tom's photograph on the wall with her fingertips, gently, as if it might disappear. Tears streaming. She tells of saying goodnight to this photo every night for fifty years. Sophie reassures her it wasn't foolish.",엘리너가 매일 밤 사진에 인사했다는 이야기 - 그것은 어리석은 것이 아니었다,"She touched the photograph gently. ""Every night, I said goodnight to this photograph. I told myself he could hear me. I told myself it wasn't foolish."" ""It wasn't foolish."" ""No. I suppose it wasn't.""",Eleanor;Sophie,cotswolds_sitting_room,image
87,1401.875,1412.588,10.713,"Eleanor Parish on an airplane for the first time at seventy. Her face at the window watching the Atlantic Ocean below — the same ocean that separated her from Tom for half a century. Wonder and determination on her aged face.",70세에 처음 비행기를 타고 대서양을 건너는 엘리너,"Eleanor Parish had never been on an airplane. At seventy years old, she crossed the Atlantic for the first time — the same ocean that had separated her from Tom for half a century.",Eleanor;Sophie,airplane_journey,image
88,1412.588,1427.535,14.947,"Sophie driving Eleanor through rural Pennsylvania autumn roads. Silence between them — some journeys don't need words. Then Eleanor standing at Tom's grave, carrying the pocket watch. She faces the headstone for a long time.",소피가 엘리너를 묘지로 데려가고 엘리너가 톰의 무덤 앞에 서는 장면,"Sophie drove her from the airport to the cemetery. They didn't speak much. Some journeys don't need words. Eleanor stood at Tom's grave for a long time. She was carrying the pocket watch. Sophie had given it to her the day they met.",Eleanor;Sophie,cemetery_pennsylvania,image
89,1427.535,1444.732,14.0,"Eleanor placing the brass pocket watch on Tom's headstone. She speaks to him — 'I'm here, Tom. I'm finally here.' She tells him about the letter and his terrible, beautiful handwriting. Sunset light on the grave. Sophie watches from a distance.",엘리너가 시계를 묘비에 올려놓고 톰에게 말하는 장면,"Eleanor placed the watch on the headstone. ""I'm here, Tom. I'm finally here. I got your letter. It only took fifty years. And that last line — in your terrible, beautiful handwriting — that's the finest thing anyone has ever written to me.""",Eleanor,cemetery_pennsylvania,image
90,1444.732,1460.385,15.0,"Eleanor at the grave as the sun sets behind bare Pennsylvania trees. She laughs unexpectedly — a small clear bell-like laugh. She jokes about the kitchen he owed her. Joy breaking through grief. The most human moment.",석양 아래 웃으며 '부엌을 빚졌다'고 농담하는 엘리너,"She stood there until the sun began to set. Then she did something Sophie didn't expect. She laughed. A small, clear laugh, like a bell. ""You owe me a kitchen, Thomas Bennett. A kitchen big enough to dance in.""",Eleanor;Sophie,cemetery_pennsylvania,image
91,1460.385,1479.413,14.0,"Evening. Eleanor hands Sophie a yellowed sealed envelope that has never been opened. Eleanor explains she wrote it the same night Tom wrote his, June 5, 1944. She was going to give it to him when he came back.",엘리너가 1944년 같은 밤에 쓴 자신의 봉인된 편지를 소피에게 건네는 장면,"That evening, Eleanor handed Sophie a small envelope. Yellowed, sealed, never opened. ""I wrote this on June 5th, 1944. The same night he wrote his. I was going to give it to him when he came back. He never came back. So I kept it.""",Eleanor;Sophie,cotswolds_cottage,image
92,1479.413,1506.353,14.0,"Sophie carefully opening the fifty-year-old sealed envelope. Inside, Eleanor's neat handwriting. She reads: 'Come back to me, Thomas Bennett. I'll be waiting. I'll always be waiting.' Then Sophie places both letters side by side on the table — finally together.",소피가 엘리너의 편지를 열어 읽고 두 편지를 나란히 놓는 장면,"Sophie opened it carefully. ""Come back to me, Thomas Bennett. I don't care if it takes a week or a year. I'll be waiting. I'll always be waiting."" Sophie placed the two letters side by side. Tom's words, written by George's hand, finished by Tom's. Eleanor's words, sealed for fifty years.",Sophie;Eleanor,cotswolds_cottage,image
93,1506.353,1514.559,8.205,"Overhead shot of two letters lying side by side on a table — never sent, never received, yet somehow they have found each other. The pocket watch between them, still ticking. Warm golden light. A moment of perfect symmetry and closure.",두 편지가 나란히 놓인 모습 - 보내지 못한 두 편지가 마침내 만나다,"Two letters. Never sent. Never received. And yet — somehow — they had found each other.",Narrator,cotswolds_cottage,image
94,1514.559,1533.526,14.0,"Christmas scene: Eleanor sitting in Tom's old chair at the Bennett family home. She laughs at stories about Tom, tells the family things they never knew — he sang when alone, feared spiders, carried a wounded soldier two miles. Warm family gathering.",크리스마스에 베넷 가족과 함께하며 그들이 몰랐던 톰의 이야기를 들려주는 엘리너,"Eleanor spent that Christmas with us. She sat in my grandfather's chair and laughed at stories about him. She told us things we never knew — that he sang when he thought no one was listening, that he was afraid of spiders, that he once carried a wounded soldier two miles.",Eleanor;Sophie;Richard,bennett_home_christmas,image
95,1533.526,1558.27,14.0,"Eleanor giving the family back the man they thought they knew. Then spring: Eleanor's Cotswolds cottage. She sits peacefully in her armchair by the window. Watch in one hand, letter in the other, Tom's photo on the wall above. She has found peace.",엘리너의 평화로운 마지막 - 시계와 편지를 쥔 채 창가 의자에서,"She gave us back the man we thought we knew. And we gave her the ending she'd waited for. Eleanor passed away the following spring. Peacefully. In her cottage. They found her in the armchair by the window, the watch in one hand, Tom's letter in the other, his photograph on the wall.",Eleanor,cotswolds_cottage,image
96,1558.27,1570.448,12.178,"Richard returning from Eleanor's funeral in England, carrying the pocket watch. He opens it for Sophie — inside are now two letters folded together. Finally together. Close-up of both letters nestled inside the watch mechanism.",리처드가 장례식에서 돌아와 시계 안에 함께 접힌 두 편지를 보여주는 장면,"My father flew to England for the funeral. When he came back, he was carrying the pocket watch. Inside it now were two letters. Folded together. Finally together.",Sophie;Richard,bennett_home,image
97,1570.448,1587.692,14.0,"Sophie holding the pocket watch with both letters inside. Slow contemplative shot as she reflects on love that endures. The two handwritings overlapping — his rough scrawl and her careful script. Time cannot kill real love.",사랑은 시간이나 거리나 침묵으로도 사라지지 않는다는 깨달음,"Some people say that love fades with time. That distance kills it. That silence buries it. But I held those two letters — his words and hers, written on the same night, kept for the same fifty years — and I knew that wasn't true.",Sophie,kitchen_tom_house,image
98,1587.692,1595.845,8.153,"Final shot: the pocket watch lying open on Tom's hand-built kitchen table, two letters visible inside. Warm golden light slowly fading. The watch still ticking. Love found its way. Fade to black.",마지막 장면 - 할아버지는 예쁜 글을 못 썼지만 사랑했고 편지는 길을 찾았다,"My grandfather couldn't write pretty words. But he loved her. And she waited. And in the end, the letter found its way.",Sophie,kitchen_tom_house,image
