prompt,prompt_ko,subtitle,characters,scene_tag,style_tag,shot_type,duration,start_time,end_time,parent_scene
"Extreme close-up of aged feminine hands opening a brass pocket watch, engraved initials T.B. & E.P. visible on the back, a folded yellowed letter tucked inside the case, warm amber lamplight, shallow depth of field, dust motes floating, 1994 interior setting, intimate and mysterious atmosphere",포켓워치를 여는 손 클로즈업,"In the autumn of 1994, a woman opened a dead man's pocket watch and found a letter inside.",Sophie,pocket_watch_close,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",scene,6.6,0.000,6.559,S001
"Close-up of a yellowed handwritten letter unfolding from inside a brass pocket watch, elegant copperplate penmanship visible, the last two lines smudged and blurred with old ink stains, candlelight warmth on aged paper, shallow depth of field, nostalgic sepia-toned atmosphere",편지의 아름다운 글씨와 번진 마지막 두 줄,"It had been written fifty years earlier, on the night before D-Day. The words were beautiful. The penmanship was elegant. And the last two lines were smudged beyond reading.",Sophie,pocket_watch_close,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",narration,11.3,6.559,17.873,S001
"A brass pocket watch lying open on a dark wooden surface, the yellowed letter partially visible inside, soft ticking implied by shallow depth of field on the watch hands, dim moody lighting with a single warm lamp, melancholy contemplative atmosphere, 1994 setting","포켓워치와 편지 — 50년간 보내지 못한 사랑의 편지","The soldier survived the war. He came home. He married someone else. He never sent the letter. Why would a man carry a love letter for fifty years and never mail it? This is ""Words I Never Said.""",Sophie,pocket_watch_close,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",narration,14.1,17.873,31.961,S001
"Wide shot of a quiet rural Pennsylvania cemetery on a gray October morning, bare trees with amber and brown leaves falling, rows of modest headstones on gentle rolling hills, a young woman in a beige trench coat standing alone at a fresh grave, overcast sky casting soft diffused light, somber peaceful atmosphere",가을 펜실베이니아 묘지에 선 소피,"On a gray October morning, Sophie Bennett stood at her grandfather's grave and realized she had never really known him.",Sophie,cemetery_pennsylvania,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",scene,7.4,31.961,39.409,S002
"Medium shot at a Pennsylvania cemetery, a 55-year-old man in a dark suit with graying temples stands rigidly beside a younger woman in a trench coat near a fresh gravestone reading Thomas Bennett, bare autumn trees in background, a few mourners departing, overcast gray sky, muted earth tones, somber funeral atmosphere",리처드가 소피에게 열쇠를 건넨다,"Thomas Bennett. Eighty years old. A carpenter. A quiet man who built things with his hands and kept everything else locked inside his chest. (Richard) He didn't want a fuss. Said just put him in the ground next to your grandmother.","Sophie,Richard",cemetery_pennsylvania,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",dialogue,14.8,39.409,54.174,S002
"Close-up of Richard's weathered hand extending an old brass key toward Sophie, cemetery headstones soft-focused in the background, autumn leaves on the ground, overcast light, emotional weight visible in the gesture, muted color palette",리처드가 열쇠를 건네는 클로즈업,"After the service, Richard handed Sophie a key. ""Someone has to sort through his things. I can't do it.""","Sophie,Richard",cemetery_pennsylvania,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",dialogue,6.3,54.174,60.472,S002
"Medium close-up of Sophie holding an old brass key in her palm, looking down at it with a conflicted expression of guilt and determination, cemetery path behind her with fallen leaves, soft overcast light on her face, beige trench coat and dark scarf, introspective mood",열쇠를 쥔 소피의 복잡한 표정,"Sophie took the key. She had things she'd never said to him either — visits she'd skipped, calls she'd cut short. Maybe that's why the key felt so heavy.",Sophie,cemetery_pennsylvania,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",reaction,9.9,60.472,70.349,S002
"Wide shot of a dusty old attic with wooden beams, warm afternoon light filtering through a small window illuminating dust motes, stacked cardboard boxes and folded Army blankets, Sophie kneeling beside an open cigar box discovering a brass pocket watch, sawdust on the floorboards, nostalgic golden atmosphere",다락방에서 시가 상자 속 포켓워치를 발견하는 소피,"Tom's attic smelled of sawdust and decades. In a cigar box tucked behind Army blankets — a pocket watch.",Sophie,attic,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",scene,8.8,70.349,79.155,S003
"Extreme close-up of Sophie's fingers turning over a brass pocket watch, the engraved initials T.B. & E.P. clearly visible on the worn smooth back, warm afternoon light from an attic window, shallow depth of field, the brass glowing golden, intimate and mysterious",포켓워치 뒷면의 T.B. & E.P. 이니셜 클로즈업,"Brass, worn smooth by years of handling. On the back, two sets of initials: T.B. & E.P. Thomas Bennett — and someone who was not her grandmother.",Sophie,attic,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",reaction,10.9,79.155,90.077,S003
"Close-up of Sophie's hands carefully opening the pocket watch back plate in the attic, a thin yellowed folded letter visible molded to the metal inside, warm golden window light catching the aged paper, dust motes in the air, sense of discovery and reverence",포켓워치 안에서 접힌 편지를 발견하는 순간,"Sophie pressed the clasp. Behind the back plate, folded so thin it had molded to the metal, was a single sheet of paper. A letter. Yellow with age.",Sophie,attic,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",scene,11.4,90.077,101.469,S003
"Close-up of a yellowed letter being carefully unfolded on a dusty attic floor, elegant copperplate handwriting visible reading My dearest Eleanor, warm afternoon light from a small window casting long shadows, Army blankets and cigar box in soft background, intimate emotional atmosphere",엘레가니한 필체의 편지를 읽는 소피,"The handwriting was elegant. Almost too elegant. ""My dearest Eleanor. I am writing this by candlelight in a tent that leaks when it rains. Tomorrow we cross the Channel. I don't know what waits for us on the other side.""",Sophie,attic,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",narration,14.6,101.469,116.103,S003
"Medium shot of Sophie sitting cross-legged on the attic floor reading the letter, her face illuminated by warm window light showing growing emotion, the letter in her hands with smudged ink visible at the bottom, Army memorabilia scattered around her, dust motes floating, contemplative atmosphere",편지의 마지막 두 줄이 번져있음을 발견하는 소피,"The letter spoke of walks along the English coast. Of a promise made under stars. But the last two lines were ruined — the ink smeared beyond reading. Sophie called her father.",Sophie,attic,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",narration,13.0,116.103,129.091,S003
"Split composition: Sophie in the dusty attic holding a phone to her ear with the letter in her other hand looking anxious, warm attic light on her face, pocket watch visible on the floor beside her, tense emotional atmosphere of a difficult phone conversation",소피가 아버지에게 전화하지만 리처드가 끊어버린다,"(Sophie) Dad, who is Eleanor Parish? (Richard) Put it back. Don't mention that name again. He hung up. And Sophie knew this letter was the reason her grandfather had been quiet all his life.","Sophie,Richard",attic,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",dialogue,12.3,129.091,141.377,S003
"Medium shot of a dimly lit living room at evening, Richard sitting in a leather armchair in shadow with an untouched glass of whiskey on the side table, Sophie standing in the doorway silhouetted by hallway light, tension between father and daughter, moody chiaroscuro lighting, 1994 American home interior",어두운 거실에서 리처드와 대면하는 소피,"Sophie drove to her father's house. Richard sat in the dark, a glass of whiskey untouched. (Sophie) His last words, Dad. What were Grandpa's last words? (Richard) He said... 'Tell her I'm sorry.' (Sophie) Tell who?","Sophie,Richard",kitchen_table,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",dialogue,14.6,141.377,156.016,S004
"Close-up of Richard's face half in shadow, eyes glistening with suppressed emotion, the whiskey glass catching a sliver of light in the foreground, as he reveals the name Eleanor Parish, dark moody interior lighting, portrait framing, raw emotional vulnerability",엘레노어 패리쉬에 대해 말하는 리처드,"(Richard) Her name was Eleanor Parish. A British nurse. He met her in England before D-Day. That's all he ever told me. Sophie held the watch in her pocket. The ticking felt like a heartbeat — patient, waiting.","Sophie,Richard",kitchen_table,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",dialogue,14.1,156.016,170.128,S004
"Medium shot of Sophie standing by a window at night, her reflection visible in the dark glass, one hand in her coat pocket clutching the pocket watch, determined expression on her face, car headlights streaking outside, a sense of resolve and mission forming, cool blue moonlight mixed with warm interior glow",엘레노어를 찾기로 결심하는 소피,"She was going to find Eleanor Parish. She was going to deliver the words her grandfather never said.",Sophie,kitchen_table,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",narration,6.8,170.128,176.923,S004
"Wide shot of a nursing home common room in Virginia, soft fluorescent lighting, an elderly man in a wheelchair wearing a veteran's cap near a window, Sophie sitting across from him leaning forward attentively, other elderly residents in soft background, warm institutional atmosphere, 1994 setting",요양원에서 조지 휘트필드를 만나는 소피,"Before flying to England, Sophie tracked down George Whitfield — eighty-seven years old, Tom's closest friend from the war.","Sophie,George",nursing_home,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",scene,8.8,176.923,185.729,S005
"Close-up of George's aged face in the wheelchair, sharp intelligent eyes lighting up with memory, veteran's cap slightly askew, warm smile breaking across weathered features as he recalls Tommy and Eleanor, soft window light on his face, nursing home background blurred, deeply nostalgic emotion","토미와 엘레노어를 회상하며 미소 짓는 조지","(George) Tommy Bennett. My God. Those two — Tommy and Eleanor — they were the only beautiful thing in that whole ugly war. (Sophie) What happened to them? (George) D-Day happened. Then George said something Sophie filed away without understanding.","Sophie,George",nursing_home,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",dialogue,14.9,185.729,200.655,S005
"Medium close-up of George in his wheelchair gesturing with gnarled hands as he speaks, a knowing look in his eyes, the nursing home common room softly lit behind him, television flickering in the far background, veteran's cap prominent, storytelling posture",조지가 톰의 글씨체에 대해 말하다,"(George) Your grandfather couldn't write worth a damn. Hands made for plows, not pens. I used to write his letters home for him.",George,nursing_home,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",dialogue,7.5,200.655,208.155,S005
"Wide establishing shot dissolving from the nursing home to an imagined 1944 scene: a young soldier and a young nurse silhouetted on the Dorset cliffs at sunset, military ships in the harbor below, wildflowers at the cliff edge, golden hour light, romantic yet bittersweet wartime atmosphere","1944년 도싯 절벽 위 톰과 엘레노어의 프러포즈 회상","(George) The night before D-Day, Tom asked Eleanor to marry him. She said yes. The next morning, the boats left for Normandy. That was the last time he saw her.","Tom_young,Eleanor_young",dorset_cliffs,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",scene,10.6,208.155,218.712,S005
"Wide shot of a small military cemetery on the Dorset coast, white crosses in rows against a gray sky, the sea visible in the background, Sophie kneeling at a weathered gravestone brushing away moss, seagulls overhead, wind blowing through the grass, isolated emotional atmosphere",도싯 군묘지에서 묘비 앞에 무릎 꿇은 소피,"In England Sophie hit a wall. The British Red Cross had no record of an Eleanor Parish. Three weeks of calls two dead-end leads.",Sophie,dorset_cemetery,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",scene,8.2,218.712,226.889,S006
"Medium shot of Sophie walking through London streets in the rain with a folder of documents under her arm, looking frustrated and exhausted, 1994 London architecture in background, gray overcast light, puddles reflecting city lights, determined but weary body language",런던에서 단서를 찾아 헤매는 소피,"One Eleanor Parish in Surrey who turned out to be a dentist born in 1955.",Sophie,red_cross_archives,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",narration,8.2,226.889,235.067,S006
"Close-up of Sophie kneeling at a weathered gravestone in the Dorset cemetery, her hand brushing moss from the carved letters, the sea visible in the soft background, seagulls circling, overcast coastal light, wind rippling through grass, tense moment of discovery",도싯 묘지에서 묘비의 이끼를 닦는 소피,"Then a clerk mentioned the bombing records. June 7, 1944 — a Luftwaffe strike on a field hospital. The casualty list included ""E. Parish."" She found the grave. Knelt down. Brushed away the moss.",Sophie,dorset_cemetery,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",scene,15.0,235.067,250.067,S006
"Extreme close-up of a gravestone reading Edith Parish 1921-1944 with freshly cleared moss around the carved letters, Sophie's fingers resting on the stone, coastal wind-blown grass at the edges, overcast diffused light, relief and shock mingling in the atmosphere","에디스 패리쉬 묘비 클로즈업 — 엘레노어가 아니다","""""Edith Parish. 1921–1944."" Edith. Not Eleanor. A different woman. A different nurse. The same initial. Eleanor had survived.",Sophie,dorset_cemetery,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",reaction,11.6,250.067,261.621,S006
"Medium shot of Sophie in the British Red Cross archives, large room with rows of filing cabinets, fluorescent lighting overhead, she holds open an old manila folder reading a typewritten document, dust motes in the air, stacks of documents on the table, institutional atmosphere, shock on her face",적십자 기록보관소에서 두 번째 실수를 발견하는 소피,"At the British Red Cross archives, Sophie found the second mistake. Eleanor's file contained a note: ""Informed that PFC Thomas Bennett was killed in action at Omaha Beach.""",Sophie,red_cross_archives,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",scene,11.6,261.621,273.248,S006
"Close-up of a typewritten military document in Sophie's trembling hands, the words Killed in Action visible, a red cross stamp in the corner, fluorescent archive light casting harsh shadows, the devastating bureaucratic error that separated two lovers for fifty years",전사 통보 문서 클로즈업,"Killed in action. Except Tom hadn't died. He'd been wounded and survived.",Sophie,red_cross_archives,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",reaction,5.2,273.248,278.423,S006
"Wide shot of the Red Cross archives room, Sophie sitting alone at a long table surrounded by open files and documents, her head bowed in emotional weight, fluorescent lights creating a cold institutional atmosphere, the enormity of the clerical tragedy visible in her posture",두 건의 행정 오류로 50년이 흐른 비극을 깨닫는 소피,"Two clerical errors. Two single letters. In the chaos of the largest military operation in history, two people who loved each other spent fifty years believing the other was dead.",Sophie,red_cross_archives,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",narration,12.8,278.423,291.174,S006
"Close-up of Sophie weeping at the archive table, tears falling onto the old documents, her hands covering her face, harsh fluorescent light overhead contrasting with the emotional warmth of her grief, files and folders spread around her, profound sadness",기록보관소에서 울고 있는 소피,"Sophie sat in that archive and wept.",Sophie,red_cross_archives,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",reaction,2.5,291.174,293.658,S006
