prompt,prompt_ko,subtitle,characters,scene_tag,style_tag,shot_type,duration,start_time,end_time,parent_scene
"Medium shot of Sophie in a London hotel room at night, sitting on the bed edge holding a phone to her ear, the pocket watch open on the nightstand, city lights through the window, warm bedside lamp creating intimate atmosphere, her expression shifting from shock to determination",호텔에서 아버지에게 전화하는 소피,"(Sophie) Dad. Eleanor is alive. She's been alive this whole time. (Richard) I know. (Sophie) What? (Richard) He found out. About ten years ago. A buddy sent him an article. Eleanor Parish — alive, living in England.","Sophie,Richard",eleanor_flat,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",dialogue,13.9,293.658,307.592,S007
"Close-up of Sophie's face in the hotel room, phone pressed to her ear, disbelief and anguish in her expression, warm lamp light on one side of her face and cool blue window light on the other, tears forming, the emotional weight of her father's revelation",할아버지가 알고도 가지 못했다는 사실에 충격받는 소피,"(Sophie) And he didn't go to her? (Richard) Your grandmother was still alive. He loved her too. Not the same way — but he loved her. He couldn't break her heart to mend his own.","Sophie,Richard",eleanor_flat,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",dialogue,10.5,307.592,318.099,S007
"Medium shot of Sophie holding the open pocket watch in her palm, the hotel room dimly lit, the watch face catching lamplight, her expression shifting from grief to urgent purpose, city lights blurred through the window behind her, the ticking watch dominating the intimate frame",포켓워치를 바라보며 긴급함을 느끼는 소피,"(Richard) He carried that knowledge for ten years. Knowing she was out there. Knowing he couldn't go. That's what finally made him quiet. Sophie looked at the watch. The ticking sounded different now. Not patient. Urgent.","Sophie,Richard",eleanor_flat,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",narration,15.0,318.099,333.072,S007
"Wide establishing shot of a charming stone cottage in a Cotswolds village, ivy-covered walls, colorful autumn garden in front, gravel path leading to a wooden door, birds in the hedgerows, warm golden afternoon light filtering through the trees, quintessential English countryside, Sophie walking up the garden path nervously",코츠월드 엘레노어의 집에 도착하는 소피,"The cottage was small. Stone walls covered in ivy. A garden loved for decades. Sophie walked up the path, her heart in her throat.",Sophie,eleanor_cottage,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",scene,10.5,333.072,343.576,S008
"Medium shot from Sophie's perspective of the cottage door opening to reveal Eleanor Parish at seventy, white hair pinned back neatly, clear blue eyes, wearing a lavender cardigan, warm gentle expression, the cottage interior glowing behind her with a fireplace, afternoon light catching her silver hair",문을 여는 70세의 엘레노어,"The door opened. Eleanor Parish. Seventy years old. White hair pinned back. Eyes the color of the English Channel. (Eleanor) Can I help you, dear?","Sophie,Eleanor_old",eleanor_cottage,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",dialogue,10.0,343.576,353.613,S008
"Over-the-shoulder shot from Sophie's viewpoint into the cottage hallway, a framed black-and-white photograph of a young American soldier (Tom) visible on the wall behind Eleanor, warm interior light, Eleanor in the foreground, the photograph a mirror of the one from the attic, profound moment of connection",엘레노어 어깨 너머로 벽의 톰 사진을 발견하는 소피,"Over Eleanor's shoulder, on the wall, Sophie saw a photograph. A young American soldier. The same photograph from the attic. Fifty years on her wall. (Sophie) My name is Sophie Bennett. I'm Tom's granddaughter.","Sophie,Eleanor_old",eleanor_cottage,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",scene,13.9,353.613,367.489,S008
"Extreme close-up of Eleanor's face, blue eyes wide with shock and filling with tears, one hand reaching toward Sophie, warm afternoon doorway light illuminating her white hair like a halo, overwhelming emotion of recognition and memory flooding back",톰의 눈을 가진 소피를 알아보는 엘레노어,"(Eleanor) Oh my God. You have his eyes.",Eleanor_old,eleanor_cottage,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",reaction,2.0,367.489,369.503,S008
"Medium shot of Eleanor's sitting room, fireplace crackling, Eleanor seated in a floral armchair carefully unfolding the yellowed letter on the table with trembling gentle hands, Sophie watching across from her, teacups on the side table, warm golden firelight, intimate emotional atmosphere",편지를 조심스럽게 펼치는 엘레노어,"Sophie placed the letter on the table. Eleanor unfolded it with the gentleness of someone handling a living thing. She read the first lines. Tears tracked down her cheeks. Then she stopped. (Eleanor) This isn't Tom's handwriting.","Sophie,Eleanor_old",eleanor_sitting_room,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",scene,14.6,369.503,384.114,S009
"Close-up of Eleanor holding the letter, her expression shifting from tender tears to puzzled recognition, firelight dancing on the yellowed paper, her aged fingers tracing the elegant handwriting, the photograph of young Tom on the wall visible in the soft background",이 글씨가 톰의 것이 아님을 깨닫는 엘레노어,"(Sophie) What? (Eleanor) Tom's handwriting was terrible — big, crooked letters. This is beautiful. But it's not his. Eleanor closed her eyes. A memory surfaced — supply crates in the field hospital, labeled in elegant copperplate.","Sophie,Eleanor_old",eleanor_sitting_room,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",dialogue,14.7,384.114,398.855,S009
"Close-up of Eleanor smiling through tears, eyes closed in fond memory, firelight warm on her face, a bittersweet expression of love and understanding, the letter resting in her lap, her white hair glowing in the warm light",눈물 속에 미소 짓는 엘레노어 — 조지의 필체를 알아보다,"(Eleanor) George Whitfield. He wrote Tom's letters for him. Eleanor smiled through her tears.","Eleanor_old",eleanor_sitting_room,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",reaction,5.5,398.855,404.320,S009
"Medium shot of Eleanor speaking animatedly despite her tears, hands gesturing as she describes Tom's inability to write, fireplace glowing behind her, the letter on the table between her and Sophie, warm intimate cottage atmosphere, the love in her voice visible in her expression",톰의 투박한 손과 조지의 대필에 대해 말하는 엘레노어,"(Eleanor) Tom couldn't write. He could build anything with his hands, but words defeated him. So he spoke the words, and George wrote them down. Every word in this letter came from Tom's mouth.",Eleanor_old,eleanor_sitting_room,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",dialogue,12.9,404.320,417.254,S009
"Extreme close-up of Eleanor's trembling aged hands holding a magnifying glass over the bottom of the letter, the smudged messy handwriting of the last two lines becoming legible, firelight catching the glass, shallow depth of field, tears on Eleanor's cheeks, profound revelatory moment",돋보기로 편지 마지막 두 줄을 읽는 엘레노어,"Eleanor picked up a magnifying glass. Her hands trembled over the bottom of the letter. (Eleanor) But this part — the last two lines — this IS Tom's handwriting. She read aloud, each word pulled from the blur of fifty-year-old ink.","Eleanor_old",eleanor_sitting_room,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",scene,14.8,417.254,432.099,S009
"Extreme close-up of the bottom of the letter showing messy, crooked handwriting reading the final lines, tears dropping onto the paper, warm firelight, the contrast between George's elegant script above and Tom's raw honest scrawl below, emotionally devastating intimacy","편지 하단의 톰의 투박한 필체 클로즈업 — I love you is all I know","(Eleanor) I can't write pretty words. But I love you is all I know. — Tom",Eleanor_old,two_letters,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",reaction,4.7,432.099,436.752,S009
"Wide shot of Eleanor's sitting room, the fireplace casting warm dancing light, Eleanor clutching the letter to her chest, Sophie wiping her own tears across the table, the photograph of young Tom on the wall watching over them both, teacups untouched, a moment of profound truth revealed",50년간 숨겨진 톰의 진심이 드러난 순간,"That was what the ink had hidden for half a century. Not George's poetry. Just Tom. Raw, honest Tom. Saying the only thing that mattered in the only way he knew how.","Sophie,Eleanor_old",eleanor_sitting_room,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",narration,12.0,436.752,448.797,S009
"Montage-style composition: a young soldier lying wounded in a hospital bed being told devastating news, dissolving into an image of the same man decades older folding a letter into a pocket watch, dim hospital lighting transitioning to warm amber lamplight, the weight of fifty years of silence",병원에서 엘레노어의 사망 소식을 듣는 톰과 50년간 편지를 품은 삶,"He never sent it. Because when he woke in the hospital, they told him Eleanor was dead. And you don't mail a letter to a ghost. So he folded it into his watch and carried it against his chest for fifty years.","Tom_young,Tom_old",hospital_southampton,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",narration,14.4,448.797,463.167,S009
"Medium shot of Eleanor and Sophie in the cottage sitting room as evening settles, dim golden lamplight, Eleanor's face etched with decades of longing, Sophie leaning forward with compassionate urgency, the pocket watch between them on the table, intimate and heavy atmosphere",엘레노어에게 톰의 죽음을 전하는 소피,"(Sophie) Eleanor... would you have wanted to hear his voice? (Eleanor) I've rehearsed what I would say to that man every night for fifty years. (Sophie) He passed away three weeks ago. (Eleanor) Fifty years I waited. And I was three weeks too late.","Sophie,Eleanor_old",eleanor_sitting_room,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",dialogue,13.2,463.167,476.370,S010
"Close-up of Eleanor's aged fingertips gently touching the black-and-white photograph of young Tom on the wall, evening light casting long shadows, tears on her cheeks, the photograph showing a young soldier with a shy smile, fifty years of goodnight wishes in a single gesture",벽의 톰 사진을 어루만지는 엘레노어,"She touched the photograph on the wall with her fingertips. (Eleanor) Every night, I said goodnight to this photograph. I told myself he could hear me. (Sophie) It wasn't foolish. (Eleanor) No. I suppose it wasn't.","Sophie,Eleanor_old",eleanor_sitting_room,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",dialogue,10.9,476.370,487.274,S010
"Wide shot of Eleanor standing at Tom's gravestone in the Pennsylvania cemetery, autumn golden sunset light, the brass pocket watch held in her aged hands, fallen leaves scattered around the base of the headstone, a 70-year-old British woman finally meeting her lost love, bittersweet peaceful atmosphere",톰의 묘비 앞에 선 엘레노어,"Eleanor crossed the Atlantic for the first time at seventy. She stood at Tom's grave, the pocket watch in her hands.",Eleanor_old,tom_grave,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",scene,7.1,487.274,494.356,S011
"Medium close-up of Eleanor kneeling at Tom's gravestone, speaking to it as if he could hear, warm tears and a gentle smile on her face, golden sunset light creating a halo effect, the pocket watch placed on top of the headstone, autumn leaves in the foreground, deeply personal and tender",톰의 묘비에 말을 거는 엘레노어,"(Eleanor) I got your letter, Tom. It only took fifty years. And that last line — in your terrible, beautiful handwriting — that's the finest thing anyone has ever written to me.",Eleanor_old,tom_grave,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",dialogue,12.1,494.356,506.453,S011
"Medium shot of Eleanor laughing softly at Tom's grave, a clear bell-like laugh, then turning to hand Sophie a sealed yellowed envelope, golden sunset light bathing the cemetery, autumn leaves falling gently, a moment of unexpected joy amid grief, warm and transcendent atmosphere",묘지에서 웃으며 소피에게 봉투를 건네는 엘레노어,"She laughed. A small, clear laugh, like a bell. (Eleanor) You owe me a kitchen, Thomas Bennett. A kitchen big enough to dance in. That evening, Eleanor handed Sophie a sealed envelope. Yellowed. Never opened.","Sophie,Eleanor_old",tom_grave,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",scene,14.2,506.453,520.646,S011
"Close-up of Sophie's hands carefully opening the yellowed sealed envelope, neat feminine handwriting visible on the letter inside, warm indoor lamplight, the pocket watch and Tom's letter visible on the table nearby, two letters from the same night finally reunited, emotional intimacy",엘레노어의 편지를 여는 소피,"(Eleanor) I wrote this on June 5th, 1944. The same night he wrote his. I was going to give it to him when he came back. Inside, in careful handwriting:","Sophie,Eleanor_old",two_letters,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",narration,11.0,520.646,531.596,S011
"Extreme close-up of Eleanor's letter in careful feminine handwriting on yellowed paper, warm firelight illuminating the words, the pocket watch lying open beside it, shallow depth of field, the emotional weight of fifty years of waiting captured in ink and paper",엘레노어의 편지 클로즈업 — 돌아와요 토마스 베넷,"""Come back to me, Thomas Bennett. I don't care if it takes a week or a year. I'll be waiting. I'll always be waiting.""",Eleanor_old,two_letters,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",narration,6.4,531.596,538.025,S011
"Overhead shot of two old letters side by side on a wooden table, one in elegant copperplate with smudged final lines, one in neat feminine script from a yellowed envelope, the brass pocket watch open between them, warm firelight casting dancing shadows, symbolic composition of love finally united",같은 밤에 쓰인 두 통의 편지가 나란히 놓인 모습,"Two letters. Written on the same night. Kept for fifty years. Never sent. Never received. And yet, somehow, they found each other.","Sophie,Eleanor_old",two_letters,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",narration,10.5,538.025,548.503,S012
"Soft-focus interior of Eleanor's cottage, Eleanor lying peacefully in her floral armchair, the pocket watch in one hand and Tom's letter in the other, the photograph of young Tom on the wall still smiling, spring light filtering through lace curtains, flowers on the windowsill, serene and transcendent atmosphere",엘레노어의 평화로운 마지막 — 편지와 포켓워치를 쥔 채,"Eleanor passed away the following spring. In her cottage. The watch in one hand, Tom's letter in the other, his photograph on the wall — the young soldier, still smiling.",Eleanor_old,eleanor_sitting_room,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",narration,11.7,548.503,560.183,S012
"Extreme close-up of the open pocket watch with two letters folded together inside, resting on a lace doily, soft spring light, the brass warm and worn, the two sets of handwriting barely visible through the thin paper, a symbol of love finally united, peaceful closure",포켓워치 안에 함께 접힌 두 통의 편지,"Inside the watch now were two letters. Folded together. Finally together.",Eleanor_old,pocket_watch_close,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",narration,6.0,560.183,566.141,S012
"Wide shot of Sophie standing alone at a cemetery overlook in Pennsylvania, autumn sunset light painting the sky gold and amber, the pocket watch in her hands, bare trees framing the scene, a contemplative figure silhouetted against the horizon, looking out with quiet understanding and peace",묘지 언덕에서 포켓워치를 든 소피의 독백,"I used to wonder why I flew across an ocean for a man I barely visited when he was alive. Now I know. I was delivering the words he never said — and learning to say my own before it was too late.",Sophie,cemetery_pennsylvania,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",narration,13.4,566.141,579.545,S012
"Final shot: Sophie walking away down a leaf-covered cemetery path at golden sunset, the pocket watch visible in her hand catching the last light, bare autumn trees creating a natural archway, warm golden tones fading to soft amber, a sense of completion and hope, the story ending as it began with the watch",가을 묘지 길을 걸어가는 소피 — 편지는 결국 전해졌다,"My grandfather couldn't write pretty words. But he loved her. And she waited. And in the end, the letter found its way.",Sophie,cemetery_pennsylvania,"cinematic photorealistic, warm golden hour lighting, film grain, 1940s wartime aesthetic",narration,9.2,579.545,588.769,S012