prompt,subtitle,characters,scene_tag,style_tag,shot_type,duration,parent_scene
"Extreme close-up of weathered hands opening a brass pocket watch, a folded yellowed letter falls out, warm light, shallow depth of field","In the autumn of 1994, a woman opened a dead man's pocket watch and found a letter inside.",Sophie,pocket_watch_close,cinematic_1940s,narration,8,H001
"Close-up of faded handwriting on yellowed paper, elegant penmanship, candlelight warmth, the last two lines smudged and unreadable","It had been written fifty years earlier, on the night before D-Day, by a young soldier to the woman he loved.",Sophie,pocket_watch_close,cinematic_1940s,narration,10,H001
"Young soldier in 1944 uniform folding a letter, then an old man in 1994 holding the same letter, split composition","The soldier survived the war. He came home. He married someone else. He never sent the letter. The question is — why?","Tom_young,Tom_old",dorset_cliffs,cinematic_1940s,narration,12,H002
"Small rural cemetery in Pennsylvania, gray October morning, bare trees, a handful of mourners in dark coats standing around a fresh grave","On a gray October morning in 1994, Sophie Bennett stood at her grandfather's grave and realized she had never really known him.","Sophie,Richard",cemetery_pennsylvania,cinematic_1940s,scene,10,S001
"Sophie standing apart from the small group of mourners, looking hollow and distant, autumn leaves falling around her","Thomas Bennett. Eighty years old. A carpenter. A quiet man who built things with his hands and kept everything else locked inside his chest.",Sophie,cemetery_pennsylvania,cinematic_1940s,narration,10,S001
"Richard handing Sophie a small key, his face rigid and controlled, the cemetery in soft focus behind them","After the service, Richard handed Sophie a key. Someone has to sort through his things.","Sophie,Richard",cemetery_pennsylvania,cinematic_1940s,dialogue,8,S001
"Dusty attic filled with old boxes and Army blankets, afternoon light through a small window, Sophie discovering a cigar box","Tom's attic smelled of sawdust and decades. Sophie moved through boxes of old tools, faded blueprints, a lifetime of carpentry.",Sophie,attic,cinematic_1940s,scene,10,S002
"Close-up of a beautiful brass pocket watch in Sophie's hands, worn smooth, engraved T.B. and E.P. on the back","Sophie turned it over. On the back, two sets of initials had been engraved: T.B. & E.P.",Sophie,attic,cinematic_1940s,narration,10,S002
"Sophie carefully opening the watch, a tiny folded yellowed letter inside the mechanism, her hands trembling","Sophie pressed the clasp. The watch opened. Inside, folded so many times it had become part of the mechanism, was a single sheet of paper.",Sophie,attic,cinematic_1940s,scene,10,S003
"Sophie at a farmhouse kitchen table, reading the letter under warm light, the elegant handwriting visible","Sophie sat at her grandfather's kitchen table and began to read. The handwriting was elegant. Almost too elegant.",Sophie,kitchen_table,cinematic_1940s,scene,10,S004
"Close-up of the letter text, beautiful penmanship, then the bottom of the page where ink has bled and smeared beyond reading","The last few lines were ruined. The ink had bled and smeared, as if water had been spilled. Or tears.",Sophie,kitchen_table,cinematic_1940s,narration,10,S004
"Sophie on the phone, shocked expression, Richard's voice stern on the other end, the letter visible on the table","Dad, who is Eleanor Parish? — Sophie. Put it back. Don't mention that name again.","Sophie,Richard",kitchen_table,cinematic_1940s,dialogue,10,S005
"Sophie back in the attic next morning, rain on the roof, finding a black-and-white photograph in an ammunition case","Sophie went back to the attic. Inside an old ammunition case — she found a photograph.",Sophie,attic,cinematic_1940s,scene,8,S006
"Close-up of a 1944 black-and-white photo: young soldier and nurse smiling at each other, light in their eyes, pencil on back reads Eleanor June 1944 England","A young man in uniform standing beside a woman in a nurse's outfit. They were smiling at each other — not at the camera, at each other.","Tom_young,Eleanor_young",attic,cinematic_1940s,narration,12,S006
"Richard sitting in the dark with untouched whiskey, Sophie standing in the doorway, tense confrontation","That night, Sophie drove to her father's house. Richard was sitting in the dark.","Sophie,Richard",kitchen_table,cinematic_1940s,scene,8,S007
"Close-up of Richard's face cracking with emotion as he speaks Tom's last words","He said... Tell her I'm sorry.",Richard,kitchen_table,cinematic_1940s,dialogue,10,S007
"Sophie holding the pocket watch in her pocket, determined expression, making her decision","Sophie made her decision. She was going to find Eleanor Parish. She was going to deliver the words her grandfather never said.",Sophie,kitchen_table,cinematic_1940s,narration,10,S008
"Sophie at National Archives in Washington DC, fluorescent lights, turning through Army service records","Sophie started with the National Archives. Tom's Army service record: 29th Infantry Division. Assigned to a field hospital in Dorset.",Sophie,national_archives,cinematic_1940s,scene,10,S009
"Sophie making phone calls, looking frustrated, crossing names off a notepad, dead ends piling up","Two weeks of phone calls. Three dead-end leads. One Eleanor Parish in Ohio who turned out to be a schoolteacher born in 1952.",Sophie,kitchen_table,cinematic_1940s,narration,10,S009
"George Whitfield in a wheelchair in a nursing home, sharp eyes despite aged body, Sophie sitting across from him","George Whitfield. Eighty-seven years old. Tom Bennett's closest friend in the 29th Division.",George,nursing_home,cinematic_1940s,scene,8,S010
"George smiling warmly, lost in memory, gesturing as he talks about Tom and Eleanor","Those two — Tommy and Eleanor — they were the only beautiful thing in that whole ugly war.","George,Sophie",nursing_home,cinematic_1940s,dialogue,12,S010
"George's face turning somber, pausing mid-sentence","D-Day happened.",George,nursing_home,cinematic_1940s,dialogue,6,S011
"George chuckling, demonstrating writing with his hand","Your grandfather couldn't write worth a damn — farm boy. Hands made for plows, not pens. I used to write his letters home for him.",George,nursing_home,cinematic_1940s,dialogue,12,S011
"Dramatic Dorset cliffs at sunset June 1944, ships gathering in harbor below, Tom and Eleanor silhouetted on the cliff edge","June 4th, 1944. The coast of Dorset. Tom and Eleanor stood on the cliffs above the sea, watching ships gather in the harbor below.","Tom_young,Eleanor_young",dorset_cliffs,cinematic_1940s,scene,12,S012
"Tom and Eleanor face to face on the cliffs, his earnest expression, her teasing smile, golden light","When this is over, I want to build you a house. With a kitchen big enough to dance in. — You're proposing to me with a kitchen?","Tom_young,Eleanor_young",dorset_cliffs,cinematic_1940s,dialogue,12,S012
"Eleanor pressing the pocket watch back into Tom's hands, her eyes serious and loving","Keep it. Bring it back to me. That's your promise.","Tom_young,Eleanor_young",dorset_cliffs,cinematic_1940s,dialogue,8,S013
"Omaha Beach chaos, soldiers wading through water, explosions, Tom hit by shrapnel, medics dragging him","The next morning, Tom shipped out to Omaha Beach. He was hit by shrapnel within the first hour.",Tom_young,field_hospital,cinematic_1940s,scene,10,S013
"Tom lying in a hospital bed in Southampton, bandaged, asking a nurse about Eleanor, the nurse's face falling","Where is Eleanor? — I'm sorry, Private. E. Parish is on the casualty list.","Tom_young,Nurse_1944",hospital_southampton,cinematic_1940s,dialogue,12,S014
"Tom closing his eyes in the hospital bed, rain on the window, all light fading from his expression","Tom closed his eyes. And something inside him — the part that planned kitchens big enough to dance in — went quiet forever.",Tom_young,hospital_southampton,cinematic_1940s,narration,10,S014
"Sophie standing in a military cemetery on the Dorset coast 1994, white crosses, sea in background, kneeling at a gravestone","Sophie stood in a cemetery on the Dorset coast. The casualty list included E. Parish.",Sophie,dorset_cemetery,cinematic_1940s,scene,10,S015
"Close-up of the gravestone: Edith Parish 1921-1944, Sophie's shocked expression as she reads","Edith Parish. Not Eleanor. Edith. The initial was the same — E. Parish. But it was a different woman entirely.",Sophie,dorset_cemetery,cinematic_1940s,reaction,12,S015
"Sophie in the British Red Cross archives, surrounded by old documents, discovering Eleanor's survival record","The British Red Cross archives confirmed it. Eleanor Parish had survived the Dorset bombing.",Sophie,red_cross_archives,cinematic_1940s,scene,10,S016
"Close-up of an old Red Cross file with a typed note: PFC Thomas J. Bennett — killed in action","Eleanor's file: Informed that PFC Thomas J. Bennett was killed in action at Omaha Beach. Except Tom hadn't died.",Sophie,red_cross_archives,cinematic_1940s,narration,10,S016
"Split screen: two clerical forms side by side, E for Edith circled on one, KIA instead of WIA on the other","Two clerical errors. Two single letters. Two tiny mistakes in the chaos of the largest military operation in human history.",Sophie,red_cross_archives,cinematic_1940s,narration,12,S017
"Sophie sitting alone in the archive, weeping, surrounded by paper and dust","And because of those mistakes, two people who loved each other spent fifty years believing the other was dead.",Sophie,red_cross_archives,cinematic_1940s,reaction,10,S017
"Tom in his workshop 1970s, sitting on a stool by the window, holding the pocket watch in both hands, June 6th","Every June 6th, Tom closed his workshop early. He would sit by the window and hold the pocket watch in both hands.",Tom_old,tom_workshop,cinematic_1940s,scene,12,S018
"Margaret standing in the workshop doorway holding a coffee cup, watching Tom, then quietly leaving","Margaret came to the door with a cup of coffee. She set the cup on the bench and left without a word. She never asked why.","Tom_old,Margaret",tom_workshop,cinematic_1940s,scene,10,S018
"Eleanor in a 1960s flat in Surrey, setting her keys on a table beside a framed photo of young Tom","Three thousand miles away, Eleanor set her keys beside a photograph. A young American soldier. Smiling.",Eleanor_middle,eleanor_flat,cinematic_1940s,scene,10,S019
"Eleanor unpacking at a new flat, the photograph being the first thing she places on the mantel","She had carried this photograph from posting to posting for twenty years. Every new flat, it was the first thing she unpacked.",Eleanor_middle,eleanor_flat,cinematic_1940s,narration,10,S019
"Sophie on a hotel phone in London, crying, Richard's voice on the other end confessing","Dad. Eleanor is alive. She's been alive this whole time. — I know.","Sophie,Richard",red_cross_archives,cinematic_1940s,dialogue,10,S020
"Richard's face in shadow, confessing the ten-year secret","He found out about ten years ago. Eleanor Parish — alive, living in England. He couldn't break your grandmother's heart to mend his own.",Richard,kitchen_table,cinematic_1940s,dialogue,12,S020
"Sophie looking at the watch, the ticking now urgent, determination in her eyes","Tom was gone. But Eleanor was still here. And the letter was still undelivered.",Sophie,red_cross_archives,cinematic_1940s,narration,8,S021
"Sophie on a train heading west through English countryside, green hills and stone walls scrolling past","Sophie took a train west from London, watching England scroll past the window like a watercolor painting.",Sophie,cotswolds_train,cinematic_1940s,scene,10,S022
"Sophie standing in the train aisle with her coat, nearly getting off, inner turmoil on her face","Halfway through the journey, Sophie nearly got off the train. What if this letter tears open a wound she spent fifty years closing?",Sophie,cotswolds_train,cinematic_1940s,reaction,10,S022
"Sophie sitting back down on the train, resolute, the pocket watch visible in her hand","She thought of her grandfather's last words. Tell her I'm sorry. Sophie sat back down. She owed them both.",Sophie,cotswolds_train,cinematic_1940s,narration,8,S023
"Charming stone cottage with ivy-covered walls in a Cotswolds village, Sophie walking up the gravel path","The cottage was small. Stone walls covered in ivy. A garden that had been loved for decades.",Sophie,eleanor_cottage,cinematic_1940s,scene,8,S024
"Sophie knocking on the wooden door, three knocks, then the door opening to reveal Eleanor","She knocked. The door opened. And there she was.",Sophie,eleanor_cottage,cinematic_1940s,scene,8,S024
"Eleanor in the doorway, 70 years old, white hair, blue eyes, gentle expression, Can I help you dear","Eleanor Parish. Seventy years old. White hair pinned back. Eyes the color of the English Channel on a clear day.",Eleanor_old,eleanor_cottage,cinematic_1940s,scene,10,S025
"Sophie looking past Eleanor to the photograph on the wall — the same photo of young Tom she found in the attic","Over Eleanor's shoulder, on the wall — a photograph. The same photograph Sophie had found in the attic. Fifty years on her wall.",Sophie,eleanor_sitting_room,cinematic_1940s,reaction,10,S025
"Eleanor's hand flying to her mouth, eyes filling with tears, recognizing Tom in Sophie's face","Oh my God. You have his eyes.","Eleanor_old,Sophie",eleanor_cottage,cinematic_1940s,dialogue,8,S026
"Sophie and Eleanor sitting in the cozy sitting room, cold tea between them, Sophie placing the letter on the table","Sophie told Eleanor everything. Then she pulled out the letter. Carefully. Reverently.","Sophie,Eleanor_old",eleanor_sitting_room,cinematic_1940s,scene,10,S027
"Eleanor's thin steady fingers unfolding the letter, tears tracking down her cheeks as she reads, then stopping suddenly","Eleanor read the first lines. Tears tracked down her cheeks. And then — she stopped. This isn't Tom's handwriting.",Eleanor_old,eleanor_sitting_room,cinematic_1940s,reaction,12,S027
"Eleanor holding up the letter, certain expression despite tears, Sophie shocked","I knew Tom's handwriting. It was terrible. This is beautiful penmanship. But it's not Tom's.","Eleanor_old,Sophie",eleanor_sitting_room,cinematic_1940s,dialogue,10,S028
"Eleanor closing her eyes, remembering — flash of supply crates with elegant labels in a field hospital","George. George Whitfield. He labeled every supply crate in the hospital. I'd know that copperplate anywhere.",Eleanor_old,eleanor_sitting_room,cinematic_1940s,dialogue,10,S028
"Eleanor smiling through tears, telling the story of the night before D-Day, Tom struggling to write","The night before D-Day, Tom came to me shaking. Not because of the invasion — because of what he wanted to say.",Eleanor_old,eleanor_sitting_room,cinematic_1940s,dialogue,12,S029
"Flashback: Tom handing crumpled paper to George in a tent, George writing by candlelight while Tom speaks","Tom spoke. George wrote. Every word came from Tom's mouth. George just gave them shape on paper.","Tom_young,George_young",field_hospital,cinematic_1940s,scene,10,S029
"Eleanor holding a magnifying glass over the bottom of the letter, her hands trembling","This part — the last two lines — this IS Tom's handwriting. After George finished, Tom took the pen and added something himself.",Eleanor_old,eleanor_sitting_room,cinematic_1940s,dialogue,10,S030
"Extreme close-up of the smudged lines becoming readable through the magnifying glass: I cant write pretty words But I love you is all I know — Tom","I can't write pretty words. But I love you is all I know. — Tom",Eleanor_old,eleanor_sitting_room,cinematic_1940s,narration,12,S030
"Eleanor sobbing quietly, Sophie crying, the letter between them, firelight flickering","That was what the ink had hidden for half a century. Just Tom. Raw, clumsy, honest Tom.","Eleanor_old,Sophie",eleanor_sitting_room,cinematic_1940s,reaction,10,S031
"The pocket watch beside the letter, the explanation: he carried it for fifty years because you don't mail a letter to a ghost","He never sent it. Because they told him Eleanor was dead. So he folded it into his watch. Every day. Every single day.","Sophie,Eleanor_old",eleanor_sitting_room,cinematic_1940s,narration,10,S031
"Evening light in Eleanor's sitting room, hours have passed, Sophie asking the difficult question","Eleanor, if I had come sooner — would you have wanted to hear his voice?","Sophie,Eleanor_old",eleanor_sitting_room,cinematic_1940s,dialogue,8,S032
"Eleanor's passionate response, fifty years of waiting in her voice","Wanted to? I've rehearsed what I would say to that man every night for fifty years.",Eleanor_old,eleanor_sitting_room,cinematic_1940s,dialogue,8,S032
"Sophie breaking the news, Eleanor going completely still, all sound stopping","I'm so sorry. He passed away three weeks ago.","Sophie,Eleanor_old",eleanor_sitting_room,cinematic_1940s,dialogue,8,S033
"Eleanor staring at the photograph on the wall, devastated, tears falling","Fifty years I waited. And I was three weeks too late.",Eleanor_old,eleanor_sitting_room,cinematic_1940s,dialogue,10,S033
"Eleanor touching the photograph of young Tom with her fingertips, gently, as if it might disappear","Every night, I said goodnight to this photograph. I told myself it wasn't foolish. — It wasn't foolish.",Eleanor_old,eleanor_sitting_room,cinematic_1940s,dialogue,12,S034
"Eleanor at Tom's grave in Pennsylvania, autumn sunset, placing the pocket watch on the headstone","I'm here, Tom. I'm finally here.",Eleanor_old,tom_grave,cinematic_1940s,scene,12,S035
"Eleanor speaking to the gravestone, tears and a smile, sunset light golden on her face","I got your letter. That last line — the one in your terrible beautiful handwriting — that's the finest thing anyone has ever written to me.",Eleanor_old,tom_grave,cinematic_1940s,dialogue,12,S035
"Eleanor laughing at the grave, a small clear laugh like a bell, joy breaking through grief","You owe me a kitchen, Thomas Bennett. A kitchen big enough to dance in.",Eleanor_old,tom_grave,cinematic_1940s,dialogue,10,S036
"Eleanor handing Sophie a yellowed sealed envelope by the fireplace","I wrote this on June 5th, 1944. The same night he wrote his.","Eleanor_old,Sophie",kitchen_table,cinematic_1940s,scene,8,S037
"Close-up of Eleanor's letter: Come back to me Thomas Bennett. I'll be waiting. I'll always be waiting.","Come back to me, Thomas Bennett. I don't care if it takes a week or a year. I'll be waiting. I'll always be waiting.",Eleanor_old,kitchen_table,cinematic_1940s,narration,10,S037
"Two letters placed side by side on a wooden table, his and hers, warm firelight","Two letters. Never sent. Never received. And yet — somehow — they had found each other.",Sophie,two_letters,cinematic_1940s,narration,10,S038
"Eleanor sitting in Tom's chair at Christmas with the Bennett family, laughing and telling stories","Eleanor spent that Christmas with us. She told us things we never knew — that he sang when he thought no one was listening.",Eleanor_old,kitchen_table,cinematic_1940s,scene,10,S039
"Eleanor in her armchair in the Cotswolds cottage, peaceful, pocket watch in one hand, letter in the other, photo on the wall above","Eleanor passed away the following spring. They found her in the armchair, the pocket watch in one hand, Tom's letter in the other.",Eleanor_old,eleanor_sitting_room,cinematic_1940s,narration,12,S039
"The pocket watch being opened one last time, two letters folded together inside","Inside the watch now were two letters. Folded together. Finally together.",Sophie,pocket_watch_close,cinematic_1940s,narration,10,S040
"Final shot: the pocket watch ticking, then slowly stopping, fade to black","My grandfather couldn't write pretty words. But he loved her. And she waited. And in the end, the letter found its way.",Sophie,pocket_watch_close,cinematic_1940s,narration,12,S040
